Cluster	Cell number	Major labelling of reference	ratio of Major labelling of reference	subtype labelling of reference	ratio of subtype labelling of reference	Refined family	Refined subtype
207	560	Upper-layer intratelencephalic	0.996	ULIT_126	0.571	Telencephalon glutamatergic neurons	TeExc_207
229	420	Upper-layer intratelencephalic	0.990	ULIT_126	0.469	Telencephalon glutamatergic neurons	TeExc_229
219	198	Upper-layer intratelencephalic	1.000	ULIT_124	0.722	Telencephalon glutamatergic neurons	TeExc_219
230	1538	Upper-layer intratelencephalic	1.000	ULIT_124	0.284	Telencephalon glutamatergic neurons	TeExc_230
176	820	Upper-layer intratelencephalic	0.933	ULIT_123	0.221	Telencephalon glutamatergic neurons	TeExc_176
226	1469	Upper-layer intratelencephalic	0.990	ULIT_124	0.168	Telencephalon glutamatergic neurons	TeExc_226
199	381	Upper-layer intratelencephalic	0.958	ULIT_126	0.459	Telencephalon glutamatergic neurons	TeExc_199
197	337	Amygdala excitatory	0.917	Amex_174	0.745	Telencephalon glutamatergic neurons	TeExc_Amygdala_197
198	340	Amygdala excitatory	0.935	Amex_175	0.659	Telencephalon glutamatergic neurons	TeExc_Amygdala_198
321	271	Midbrain-derived inhibitory	1.000	Midi_439	0.697	Mesencephalon GABAergic neurons	MeInh_321
341	911	Midbrain-derived inhibitory	1.000	Midi_441	0.684	Diencephalon GABAergic neurons	DeInh_341
329	763	Midbrain-derived inhibitory	1.000	Midi_438	0.296	Diencephalon GABAergic neurons	DeInh_329
335	580	Midbrain-derived inhibitory	1.000	Midi_443	0.478	Diencephalon GABAergic neurons	DeInh_335
338	208	Midbrain-derived inhibitory	1.000	Midi_436	0.663	Diencephalon GABAergic neurons	DeInh_338
322	387	Midbrain-derived inhibitory	1.000	Midi_439	0.571	Diencephalon GABAergic neurons	DeInh_322
324	589	Midbrain-derived inhibitory	1.000	Midi_441	0.382	Diencephalon GABAergic neurons	DeInh_324
326	573	Midbrain-derived inhibitory	1.000	Midi_443	0.213	Diencephalon GABAergic neurons	DeInh_326
339	746	Midbrain-derived inhibitory	1.000	Midi_436	0.201	Diencephalon GABAergic neurons	DeInh_339
461	599	LAMP5-LHX6 and Chandelier	1.000	LLC_270	0.280	Telencephalon GABAergic neurons	TeInh_461
464	615	LAMP5-LHX6 and Chandelier	1.000	LLC_274	0.411	Telencephalon GABAergic neurons	TeInh_464
467	665	CGE interneuron	1.000	CGE_287	0.830	Telencephalon GABAergic neurons	TeInh_CGE_467
469	1022	CGE interneuron	1.000	CGE_288	0.911	Telencephalon GABAergic neurons	TeInh_CGE_469
501	358	CGE interneuron	1.000	CGE_286	0.785	Telencephalon GABAergic neurons	TeInh_CGE_501
502	438	CGE interneuron	1.000	CGE_286	0.749	Telencephalon GABAergic neurons	TeInh_CGE_502
477	444	CGE interneuron	1.000	CGE_294	0.484	Telencephalon GABAergic neurons	TeInh_CGE_477
481	222	CGE interneuron	1.000	CGE_294	0.315	Telencephalon GABAergic neurons	TeInh_CGE_481
483	442	CGE interneuron	1.000	CGE_293	0.566	Telencephalon GABAergic neurons	TeInh_CGE_483
484	642	CGE interneuron	1.000	CGE_293	0.659	Telencephalon GABAergic neurons	TeInh_CGE_484
490	318	CGE interneuron	1.000	CGE_289	0.890	Telencephalon GABAergic neurons	TeInh_CGE_490
491	276	CGE interneuron	1.000	CGE_296	0.605	Telencephalon GABAergic neurons	TeInh_CGE_491
492	169	CGE interneuron	1.000	CGE_296	0.692	Telencephalon GABAergic neurons	TeInh_CGE_492
473	639	CGE interneuron	1.000	CGE_290	0.554	Telencephalon GABAergic neurons	TeInh_CGE_473
474	314	CGE interneuron	1.000	CGE_290	0.898	Telencephalon GABAergic neurons	TeInh_CGE_474
470	407	CGE interneuron	1.000	CGE_291	0.887	Telencephalon GABAergic neurons	TeInh_CGE_470
480	427	CGE interneuron	1.000	CGE_292	0.824	Telencephalon GABAergic neurons	TeInh_CGE_480
487	563	CGE interneuron	0.995	CGE_284	0.584	Telencephalon GABAergic neurons	TeInh_CGE_487
498	430	CGE interneuron	1.000	CGE_282	0.728	Telencephalon GABAergic neurons	TeInh_CGE_498
499	392	CGE interneuron	1.000	CGE_283	0.679	Telencephalon GABAergic neurons	TeInh_CGE_499
496	388	CGE interneuron	0.997	CGE_278	0.791	Telencephalon GABAergic neurons	TeInh_CGE_496
494	332	CGE interneuron	0.994	CGE_279	0.599	Telencephalon GABAergic neurons	TeInh_CGE_494
495	368	CGE interneuron	0.992	CGE_279	0.277	Telencephalon GABAergic neurons	TeInh_CGE_495
344	228	Splatter	1.000	Splat_409	0.987	Telencephalon GABAergic neurons	TeInh_MGE_344
384	275	Splatter	1.000	Splat_238	0.956	Telencephalon GABAergic neurons	TeInh_MGE_384
417	484	MGE interneuron	1.000	MGE_241	0.430	Telencephalon GABAergic neurons	TeInh_MGE_417
418	595	MGE interneuron	0.990	MGE_243	0.639	Telencephalon GABAergic neurons	TeInh_MGE_418
414	422	MGE interneuron	0.810	MGE_249	0.220	Telencephalon GABAergic neurons	TeInh_MGE_414
415	291	MGE interneuron	0.773	MGE_242	0.646	Telencephalon GABAergic neurons	TeInh_MGE_415
409	811	MGE interneuron	0.999	MGE_250	0.649	Telencephalon GABAergic neurons	TeInh_MGE_409
413	270	MGE interneuron	0.996	MGE_239	0.604	Telencephalon GABAergic neurons	TeInh_MGE_413
428	386	MGE interneuron	0.767	MGE_254	0.645	Telencephalon GABAergic neurons	TeInh_MGE_428
421	853	MGE interneuron	0.987	MGE_251	0.667	Telencephalon GABAergic neurons	TeInh_MGE_421
427	243	MGE interneuron	1.000	MGE_253	0.667	Telencephalon GABAergic neurons	TeInh_MGE_427
430	345	MGE interneuron	1.000	MGE_252	0.832	Telencephalon GABAergic neurons	TeInh_MGE_430
431	398	MGE interneuron	1.000	MGE_252	0.663	Telencephalon GABAergic neurons	TeInh_MGE_431
434	533	LAMP5-LHX6 and Chandelier	0.998	LLC_264	0.454	Telencephalon GABAergic neurons	TeInh_434
438	308	MGE interneuron	1.000	MGE_256	0.562	Telencephalon GABAergic neurons	TeInh_MGE_438
440	166	MGE interneuron	1.000	MGE_255	0.675	Telencephalon GABAergic neurons	TeInh_MGE_440
459	339	MGE interneuron	0.994	MGE_261	0.407	Telencephalon GABAergic neurons	TeInh_MGE_459
446	1307	MGE interneuron	1.000	MGE_261	0.324	Telencephalon GABAergic neurons	TeInh_MGE_446
458	524	MGE interneuron	1.000	MGE_261	0.534	Telencephalon GABAergic neurons	TeInh_MGE_458
442	686	MGE interneuron	1.000	MGE_259	0.367	Telencephalon GABAergic neurons	TeInh_MGE_442
443	362	MGE interneuron	0.972	MGE_259	0.351	Telencephalon GABAergic neurons	TeInh_MGE_443
439	222	MGE interneuron	1.000	MGE_257	0.532	Telencephalon GABAergic neurons	TeInh_MGE_439
455	316	MGE interneuron	1.000	MGE_258	0.532	Telencephalon GABAergic neurons	TeInh_MGE_455
342	484	Mammillary body	1.000	Mmb_328	0.192	Diencephalon glutamatergic neurons	DeExc_Hypothalamus_342
343	165	Mammillary body	0.988	Mmb_324	0.279	Diencephalon glutamatergic neurons	DeExc_Hypothalamus_343
362	383	Splatter	0.997	Splat_365	0.261	Splatter	Splatter_362
363	300	Splatter	1.000	Splat_364	0.520	Mesencephalon glutamatergic neurons	MeExc_363
348	418	Splatter	0.782	Splat_235	0.189	Splatter	Splatter_348
276	425	Amygdala excitatory	0.391	Amex_407	0.146	Telencephalon glutamatergic neurons	Te/DeExc_276
277	545	Splatter	0.622	Splat_429	0.473	Diencephalon GABAergic neurons	DeInh_277
371	169	Splatter	0.994	Splat_415	0.272	Diencephalon GABAergic neurons	DeInh_371
349	309	Splatter	0.984	Splat_356	0.223	Rhombencephalon GABAergic neurons	ReInh_349
356	243	Splatter	1.000	Splat_365	0.420	Rhombencephalon GABAergic neurons	ReInh_356
370	353	Splatter	0.958	Splat_418	0.255	Splatter	Splatter_370
345	1265	Splatter	0.895	Splat_365	0.101	Splatter	Splatter_345
357	484	Splatter	0.983	Splat_365	0.128	Splatter	Splatter_357
375	365	Splatter	0.967	Splat_432	0.230	Diencephalon GABAergic neurons	DeInh_375
373	547	Splatter	0.974	Splat_415	0.190	Diencephalon GABAergic neurons	DeInh_373
382	1308	Splatter	0.907	Splat_415	0.381	Splatter	Splatter_382
377	1281	Splatter	0.974	Splat_368	0.134	Mesencephalon glutamatergic neurons	MeExc_377
381	1415	Splatter	0.980	Splat_365	0.141	Splatter	Splatter_381
358	785	Splatter	0.961	Splat_368	0.186	Mesencephalon glutamatergic neurons	MeExc_358
359	959	Splatter	0.961	Splat_365	0.344	Splatter	Splatter_359
318	370	Lower rhombic lip	0.878	LRL_320	0.573	Rhombencephalon glutamatergic neurons	ReExc_318
316	1530	Lower rhombic lip	1.000	LRL_320	0.484	Rhombencephalon glutamatergic neurons	ReExc_316
319	353	Lower rhombic lip	1.000	LRL_320	0.640	Rhombencephalon glutamatergic neurons	ReExc_319
512	497	Microglia	1.000	Mgl_9	0.801	Microglia	Microglia_512
513	8708	Microglia	1.000	Mgl_7	0.405	Microglia	Microglia_513
504	310	Microglia	0.997	Mgl_12	0.994	Microglia	Microglia_504
511	154	Microglia	0.916	Mgl_12	0.273	Microglia	Microglia_511
577	658	Vascular	1.000	VendC_15	0.527	Vascular cells	Vasc_577
584	512	Vascular	0.992	Per_22	0.410	Vascular cells	Vasc_584
582	223	Fibroblast	0.991	Fbl_31	0.314	Fibroblasts	Fibro_582
579	372	Fibroblast	1.000	Fbl_28	0.565	Fibroblasts	Fibro_579
583	567	Fibroblast	0.700	Fbl_28	0.351	Fibroblasts	Fibro_583
547	843	Oligodendrocyte	0.907	Oligo_49	0.781	Oligodendrocytes	Oligo_547
544	466	Oligodendrocyte	1.000	Oligo_49	0.852	Oligodendrocytes	Oligo_544
546	250	Oligodendrocyte	0.992	Oligo_49	0.992	Oligodendrocytes	Oligo_546
550	271	Oligodendrocyte	1.000	Oligo_50	0.841	Oligodendrocytes	Oligo_550
531	4250	Oligodendrocyte	0.992	Oligo_49	0.387	Oligodendrocytes	Oligo_531
542	9687	Oligodendrocyte	1.000	Oligo_49	0.482	Oligodendrocytes	Oligo_542
533	1838	Oligodendrocyte	0.989	Oligo_47	0.604	Oligodendrocytes	Oligo_533
521	9879	Oligodendrocyte	0.981	Oligo_47	0.417	Oligodendrocytes	Oligo_521
529	27639	Oligodendrocyte	0.999	Oligo_45	0.309	Oligodendrocytes	Oligo_529
563	299	Oligodendrocyte precursor	0.813	OPC_36	0.639	Oligodendrocyte precursor cells	OPC_563
552	236	Committed oligodendrocyte precursor	0.894	COP_37	0.462	Oligodendrocyte precursor cells	OPC_552
556	12162	Oligodendrocyte precursor	1.000	OPC_33	0.444	Oligodendrocyte precursor cells	OPC_556
629	236	Choroid plexus	1.000	Chrp_78	0.449	Choroid plexus epithelial cells	ChorEpi_629
631	628	Choroid plexus	0.982	Chrp_78	0.318	Choroid plexus epithelial cells	ChorEpi_631
633	441	Ependymal	0.998	Epen_72	0.259	Ependymal cells	Epen_633
634	211	Ependymal	1.000	Epen_69	0.332	Ependymal cells	Epen_634
586	991	Bergmann glia	1.000	Bgl_51	1.000	Astrocytes	Ast_Bergmann glia_586
664	264	Astrocyte	0.989	Astro_61	0.470	Astrocytes	Ast_664
615	699	Astrocyte	1.000	Astro_61	0.959	Astrocytes	Ast_615
621	2824	Astrocyte	0.995	Astro_62	0.437	Astrocytes	Ast_621
661	431	Astrocyte	0.998	Astro_62	0.626	Astrocytes	Ast_661
609	2144	Astrocyte	0.972	Astro_60	0.730	Astrocytes	Ast_609
659	783	Astrocyte	1.000	Astro_60	0.792	Astrocytes	Ast_659
606	1338	Astrocyte	0.999	Astro_62	0.700	Astrocytes	Ast_606
657	407	Astrocyte	1.000	Astro_62	0.668	Astrocytes	Ast_657
627	254	Astrocyte	1.000	Astro_58	0.799	Astrocytes	Ast_627
655	317	Astrocyte	1.000	Astro_58	0.710	Astrocytes	Ast_655
656	328	Astrocyte	1.000	Astro_57	0.942	Astrocytes	Ast_656
650	282	Astrocyte	1.000	Astro_55	0.922	Astrocytes	Ast_650
654	505	Astrocyte	1.000	Astro_53	0.687	Astrocytes	Ast_654
651	1630	Astrocyte	1.000	Astro_54	0.767	Astrocytes	Ast_651
652	962	Astrocyte	0.999	Astro_54	0.585	Astrocytes	Ast_652
593	2998	Astrocyte	0.992	Astro_52	0.443	Astrocytes	Ast_593
636	1746	Astrocyte	1.000	Astro_52	0.854	Astrocytes	Ast_636
