p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	species	gene_name	TF	type	family	orthogroup
2.46171188599855e-215	4.91007696116776	0.19	0.004	4.62481812022547e-211	Oligodendrocytes	Sox10	Mmus	ENSMUSG00000033006	TRUE	WGD	Sox10,Sox8,Sox9	OG0000843
2.30249183720941e-184	4.35910969282922	0.176	0.008	4.32569141456531e-180	Oligodendrocytes	Creb5	Mmus	ENSMUSG00000053007	TRUE	WGD	Creb5,Gm28047,Atf2,Atf7	OG0000608
0	2.52418124266754	0.413	0.036	0	Oligodendrocytes	Nkx6-2	Mmus	ENSMUSG00000041309	TRUE	SSD	Nkx6-1,Nkx6-2,Nkx6-3	OG0001688
2.06761673613706e-208	2.85203810897834	0.239	0.028	3.88443156218069e-204	Oligodendrocytes	Foxn3	Mmus	ENSMUSG00000033713	TRUE	WGD	Foxn2,Foxn3	OG0001658
0	2.14985521527801	0.745	0.223	0	Oligodendrocytes	Olig1	Mmus	ENSMUSG00000046160	TRUE	Others		OG0013365
0	1.71779052063624	0.711	0.286	0	Oligodendrocytes	Fez1	Mmus	ENSMUSG00000032118	TRUE	SSD	Fez1,Fez2	OG0002070
0	6.1465511721614	0.502	0.009	0	Oligodendrocytes	SOX10	Pvit	SOX10	TRUE	WGD	SOX9,SOX10,SOX8	OG0000843
0	5.86053186360929	0.264	0.005	0	Oligodendrocytes	NKX6-2	Pvit	NKX6-2	TRUE	WGD	NKX6-1,NKX6-3,NKX6-2	OG0001688
4.512353773269e-183	3.53679968425599	0.198	0.018	8.52428751308247e-179	Oligodendrocytes	CREB5	Pvit	CREB5	TRUE	WGD	ATF2,ATF7,CREB5	OG0000608
1.76207150475514e-74	2.50437302589403	0.116	0.023	3.32872927963293e-70	Oligodendrocytes	FOXN2	Pvit	FOXN2	TRUE	WGD	FOXN3,FOXN2	OG0001658
2.18295988820993e-231	2.37513609479451	0.354	0.086	4.12382952481737e-227	Oligodendrocytes	OLIG1	Pvit	OLIG1	TRUE	Others		OG0013365
4.05860202801751e-146	2.40936728558797	0.249	0.064	7.66710509112788e-142	Oligodendrocytes	SOX8	Pvit	SOX8	TRUE	WGD	SOX9,SOX10,SOX8	OG0000843
0	1.52559752453683	0.735	0.438	0	Oligodendrocytes	FEZ1	Pvit	FEZ1	TRUE	SSD	FEZ1,FEZ2	OG0002070
