p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	ensembl
2.16506363200766e-242	2.82832836742367	0.998	0.701	4.80384318669859e-238	T1:RhSp Otp+ cells_62	bf15-388	bf_00019348
1.21546461898493e-240	2.51270288954969	0.949	0.317	2.69687289660375e-236	T1:RhSp Otp+ cells_62	bf7-858	bf_00011763
7.44935421799503e-231	2.58994287946052	0.991	0.407	1.65286271388874e-226	T1:RhSp Otp+ cells_62	bf5-572	bf_00016986
3.25011911281385e-230	3.90418027832854	0.436	0.046	7.21136428751137e-226	T1:RhSp Otp+ cells_62	bf3-1369	bf_00001390
3.78636964358483e-226	5.14451345895951	0.206	0.006	8.40119696518603e-222	T1:RhSp Otp+ cells_62	bf18-511	bf_00023983
4.06707653560613e-226	2.70272659379965	0.829	0.214	9.02402941720288e-222	T1:RhSp Otp+ cells_62	bf6-548	bf_00012850
1.07916248834289e-223	3.75010709900863	0.508	0.068	2.39444572913521e-219	T1:RhSp Otp+ cells_62	bf11-68	bf_00020255
9.09970266103002e-216	2.57798160786999	0.674	0.126	2.01904202642934e-211	T1:RhSp Otp+ cells_62	bf2-865	bf_00004830
2.13142081203786e-214	3.46395824356178	0.628	0.12	4.7291964977496e-210	T1:RhSp Otp+ cells_62	bf9-483	bf_00015559
8.01483001460765e-214	2.98101565203802	0.494	0.064	1.77833048364115e-209	T1:RhSp Otp+ cells_62	bf2-725	bf2_725
1.33103777758235e-203	3.12094903062705	0.838	0.289	2.95330662089971e-199	T1:RhSp Otp+ cells_62	bf1620-1252	bf_00007250
9.24423048860272e-202	2.99117089448631	0.494	0.068	2.05110986081117e-197	T1:RhSp Otp+ cells_62	bf18-166	bf_00023629
3.71166520751683e-201	2.50645699343584	0.732	0.165	8.23544276243834e-197	T1:RhSp Otp+ cells_62	bf4-403	bf4_403
2.55124212624529e-199	3.05448228807782	0.596	0.107	5.66069602971304e-195	T1:RhSp Otp+ cells_62	bf14-204	bf_00021600
7.29881886819717e-194	3.39692531905134	0.46	0.062	1.61946193047559e-189	T1:RhSp Otp+ cells_62	bf6-1182	bf_00013496
1.00880716477471e-189	2.52258481830043	0.873	0.326	2.23834133720212e-185	T1:RhSp Otp+ cells_62	bf5-806	bf_00017223
2.16577525318551e-189	2.57917770548727	0.933	0.432	4.80542213176801e-185	T1:RhSp Otp+ cells_62	bf8-1209	bf_00010564
4.25084707573394e-188	5.04657386391658	0.159	0.004	9.43177949163846e-184	T1:RhSp Otp+ cells_62	bf9-887	bf_00015964
6.24616869778239e-180	2.57924747685668	0.439	0.058	1.38589991066396e-175	T1:RhSp Otp+ cells_62	bf6-1240	bf_00013560
3.42435639043049e-179	4.07132003158042	0.538	0.102	7.59796195908716e-175	T1:RhSp Otp+ cells_62	bf8-580	bf_00009924
8.8997932977809e-178	4.58283360239427	0.339	0.036	1.97468613691163e-173	T1:RhSp Otp+ cells_62	bf17-709	bf_00026148
8.94671805346235e-177	2.51598111910124	0.714	0.184	1.98509780170223e-172	T1:RhSp Otp+ cells_62	bf3-482	bf_00000508
4.54636011738988e-175	2.68904668959767	0.875	0.349	1.00874638284647e-170	T1:RhSp Otp+ cells_62	bf3-574	bf_00000600
1.27783316417993e-168	2.01731257929031	0.94	0.458	2.83525622468243e-164	T1:RhSp Otp+ cells_62	bf2-1890	bf_00005872
1.23769313124342e-164	2.18239556170729	0.492	0.079	2.74619351960289e-160	T1:RhSp Otp+ cells_62	bf19-430	bf_00024985
1.4215927153524e-164	2.16719023209743	0.704	0.171	3.1542299168239e-160	T1:RhSp Otp+ cells_62	bf9-711	bf_00015780
1.09036456105634e-163	2.19165814968742	0.875	0.333	2.4193008880718e-159	T1:RhSp Otp+ cells_62	bf1-538	bf_00002574
7.78441482637414e-163	2.27005472248313	0.76	0.223	1.7272059616759e-158	T1:RhSp Otp+ cells_62	bf5-359	bf_00016773
1.90244148364386e-162	2.310794043173	0.651	0.152	4.22113716390899e-158	T1:RhSp Otp+ cells_62	bf10-1181	bf_00018902
1.0903027490083e-157	1.9518265309039	0.968	0.648	2.41916373949961e-153	T1:RhSp Otp+ cells_62	bf6-800	bf_00013108
1.1721387281525e-155	1.86270748947317	0.956	0.514	2.60074141002478e-151	T1:RhSp Otp+ cells_62	bf4-1147	bf_00008906
2.09966368435694e-155	2.88889040899642	0.695	0.202	4.65873378285118e-151	T1:RhSp Otp+ cells_62	bf8-665	bf_00010008
7.39308626329217e-154	2.89459407960404	0.462	0.08	1.64037798009927e-149	T1:RhSp Otp+ cells_62	bf18-418	bf_00023884
3.91030310019833e-150	3.10645348155598	0.356	0.046	8.67618051872005e-146	T1:RhSp Otp+ cells_62	bf1-927	bf_00002969
5.11479428754525e-148	4.11468872557216	0.238	0.019	1.13487055652054e-143	T1:RhSp Otp+ cells_62	bf15-596	bf_00019563
3.49718640602183e-147	1.9621916113412	0.801	0.246	7.75955719768124e-143	T1:RhSp Otp+ cells_62	bf3-1613	bf_00001651
2.16497512236891e-144	1.72722579199459	0.956	0.523	4.80364680151213e-140	T1:RhSp Otp+ cells_62	bf7-540	bf_00011430
3.94799566407132e-144	2.8149990404425	0.395	0.06	8.75981277944145e-140	T1:RhSp Otp+ cells_62	bf4-1244	bf_00008999
1.76494988308975e-143	2.56397485839173	0.538	0.117	3.91607080059955e-139	T1:RhSp Otp+ cells_62	bf3-964	bf_00000985
2.43811428966852e-142	3.2251855747492	0.316	0.038	5.40968798591651e-138	T1:RhSp Otp+ cells_62	bf3-1055	bf_00001072
4.67033468539918e-140	2.4213643528533	0.711	0.228	1.03625385999637e-135	T1:RhSp Otp+ cells_62	bf8-378	bf_00009721
8.66414041587684e-139	2.60144875902924	0.538	0.119	1.92239947547475e-134	T1:RhSp Otp+ cells_62	bf10-437	bf_00018119
1.50598214394891e-135	1.61606204410165	0.956	0.648	3.34147318099384e-131	T1:RhSp Otp+ cells_62	bf14-687	bf_00022084
9.07534178917984e-135	1.55656058804682	0.804	0.255	2.01363683618322e-130	T1:RhSp Otp+ cells_62	bf1-1605	bf_00003648
3.28443777780474e-134	1.56245287050962	0.979	0.559	7.28751054139315e-130	T1:RhSp Otp+ cells_62	bf2-882	bf_00004847
4.54011861175678e-131	2.70552662513262	0.515	0.117	1.00736151757659e-126	T1:RhSp Otp+ cells_62	bf17-311	bf_00025745
3.12598429016272e-130	3.03190000685275	0.339	0.049	6.93593394301305e-126	T1:RhSp Otp+ cells_62	bf14-764	bf_00022160
1.09352444448453e-129	2.02363065634967	0.824	0.341	2.42631203742227e-125	T1:RhSp Otp+ cells_62	bf6-97	bf6_97
2.67392595552817e-128	1.9006878179909	0.831	0.357	5.9329069101259e-124	T1:RhSp Otp+ cells_62	bf5-1053	bf_00017464
3.03579638919253e-127	2.45104649865421	0.635	0.191	6.73582502834039e-123	T1:RhSp Otp+ cells_62	bf17-647	bf_00026085
9.57380211544061e-127	2.11832117637574	0.855	0.425	2.12423521337396e-122	T1:RhSp Otp+ cells_62	bf9-760	bf_00015832
1.11269645862418e-126	2.38876601346831	0.527	0.123	2.46885090239533e-122	T1:RhSp Otp+ cells_62	bf12-1040	bf_00014775
2.13501021322991e-126	2.15609281788277	0.614	0.165	4.73716066111452e-122	T1:RhSp Otp+ cells_62	bf2-1072	bf_00005041
2.5985399120719e-124	1.79504011291049	0.693	0.206	5.76564035690514e-120	T1:RhSp Otp+ cells_62	bf5-917	bf_00017334
3.1892925384785e-124	1.65652849782974	0.903	0.422	7.0764022843761e-120	T1:RhSp Otp+ cells_62	bf5-337	bf_00016728
2.4724982080831e-123	2.06660910490139	0.781	0.31	5.48597902409477e-119	T1:RhSp Otp+ cells_62	bf3-1816	bf_00001869
3.21865675002792e-123	1.6343677737762	0.945	0.553	7.14155559696195e-119	T1:RhSp Otp+ cells_62	bf2-1405	bf_00005372
4.82194617382657e-123	1.15364670854449	0.924	0.341	1.06989341704864e-118	T1:RhSp Otp+ cells_62	bf1620-831	bf_00006817
1.97051886738372e-122	1.74428210104223	0.873	0.419	4.372187262951e-118	T1:RhSp Otp+ cells_62	bf1620-1191	bf_00007185
5.69516767774114e-122	2.07960318497164	0.51	0.114	1.2636438043372e-117	T1:RhSp Otp+ cells_62	bf18-654	bf_00024122
1.10366813855516e-121	2.41325443542704	0.679	0.231	2.44881886582618e-117	T1:RhSp Otp+ cells_62	bf17-436	bf_00025863
2.68077791777157e-121	2.07796555743665	0.868	0.393	5.94811004395156e-117	T1:RhSp Otp+ cells_62	bf1-563	bf_00002597
6.15344701540472e-121	1.57049867414103	0.968	0.702	1.365326823778e-116	T1:RhSp Otp+ cells_62	bf12-1199	bf_00014946
5.14147103641726e-120	3.06187280261583	0.337	0.052	1.14078959356026e-115	T1:RhSp Otp+ cells_62	bf8-1031	bf_00010382
8.32185835597109e-120	2.11408265305366	0.587	0.157	1.84645393202287e-115	T1:RhSp Otp+ cells_62	bf13-723	bf_00023283
9.48609397331562e-119	0.973197735734229	0.988	0.944	2.10477453079927e-114	T1:RhSp Otp+ cells_62	bf10-841	bf_00018529
3.67479236101974e-118	2.52159544279366	0.148	0.008	8.15362929063059e-114	T1:RhSp Otp+ cells_62	bf17-499	bf_00025928
1.95620868882441e-117	1.98348439620107	0.714	0.246	4.34043583876361e-113	T1:RhSp Otp+ cells_62	bf1620-1049	bf_00007039
4.0089199168618e-117	2.95434558235461	0.279	0.036	8.89499151153295e-113	T1:RhSp Otp+ cells_62	bf17-1014	bf_00026459
4.0836021604719e-117	2.55512653615254	0.386	0.07	9.06069647365504e-113	T1:RhSp Otp+ cells_62	bf6-1241	bf_00013561
2.35972890329777e-116	1.46924518691439	0.979	0.734	5.23576649063709e-112	T1:RhSp Otp+ cells_62	bf3-1404	bf_00001427
1.54577260064826e-115	2.52391716253388	0.273	0.034	3.42976024631835e-111	T1:RhSp Otp+ cells_62	bf1-631	bf_00002667
6.19883870386263e-115	1.94735355526785	0.746	0.293	1.37539833161304e-110	T1:RhSp Otp+ cells_62	bf5-207	bf_00016583
1.42907131824165e-111	2.29592560405261	0.501	0.123	3.17082344091457e-107	T1:RhSp Otp+ cells_62	bf6-872	bf6_872
6.89374667253969e-111	1.3834582215666	0.947	0.708	1.52958451170311e-106	T1:RhSp Otp+ cells_62	bf1-1795	bf_00003867
2.57467446727502e-110	2.31632022478345	0.43	0.089	5.71268770798982e-106	T1:RhSp Otp+ cells_62	bf1620-217	bf_00006208
2.80873089444237e-110	1.64754049677713	0.882	0.463	6.23201210858874e-106	T1:RhSp Otp+ cells_62	bf15-802	bf_00019778
4.0489439000425e-110	1.98720245305118	0.737	0.283	8.9837967254143e-106	T1:RhSp Otp+ cells_62	bf5-516	bf_00016930
8.44741906493145e-110	2.59354257188804	0.404	0.082	1.87431334212699e-105	T1:RhSp Otp+ cells_62	bf3-362	bf3_362
9.13705002860369e-110	2.0689023997119	0.557	0.151	2.02732866034659e-105	T1:RhSp Otp+ cells_62	bf9-845	bf_00015916
3.25451097164426e-109	1.96746951270357	0.774	0.336	7.22110894388428e-105	T1:RhSp Otp+ cells_62	bf2-413	bf_00004390
4.49458592758149e-109	2.24802629629301	0.485	0.115	9.97258725611781e-105	T1:RhSp Otp+ cells_62	bf9-1050	bf9_1050
1.32331605721253e-106	1.75581812426138	0.811	0.365	2.93617366774317e-102	T1:RhSp Otp+ cells_62	bf18-751	bf_00024231
3.18730152209263e-106	1.20250727124313	0.97	0.813	7.07198461721912e-102	T1:RhSp Otp+ cells_62	bf17-549	bf_00025981
6.55690269174482e-106	2.45400213405658	0.436	0.097	1.45484556924434e-101	T1:RhSp Otp+ cells_62	bf3-510	bf_00000536
9.71995091133025e-106	1.66114260074455	0.891	0.555	2.15666270820596e-101	T1:RhSp Otp+ cells_62	bf5-1072	bf_00017485
1.53183761317962e-105	1.1984387156426	0.968	0.823	3.39884129612294e-101	T1:RhSp Otp+ cells_62	bf10-922	bf_00018630
2.62221285656613e-104	2.07289928607973	0.656	0.233	5.81816588614893e-100	T1:RhSp Otp+ cells_62	bf6-356	bf_00012652
1.68748957206469e-103	1.38477143606897	0.952	0.688	3.74420186249714e-99	T1:RhSp Otp+ cells_62	bf11-353	bf_00020557
2.25494549217558e-103	2.51975781771797	0.289	0.043	5.00327305803917e-99	T1:RhSp Otp+ cells_62	bf1-196	bf_00002224
5.05016542854968e-103	1.42356904422459	0.905	0.571	1.1205307052866e-98	T1:RhSp Otp+ cells_62	bf12-749	bf_00014477
5.52876113186946e-103	1.36840397764926	0.977	0.73	1.2267215199392e-98	T1:RhSp Otp+ cells_62	bf3-848	bf_00000874
8.60964071376564e-103	1.3766744925097	0.954	0.683	1.91030708157032e-98	T1:RhSp Otp+ cells_62	bf1-494	bf_00002532
1.43644059835114e-102	3.15618560799135	0.443	0.114	3.18717439962152e-98	T1:RhSp Otp+ cells_62	bf1-681	bf_00002719
2.35897405885548e-101	1.74543541728065	0.859	0.511	5.23409164178853e-97	T1:RhSp Otp+ cells_62	bf1-969	bf_00003013
1.04942938537644e-99	1.44127193661933	0.661	0.202	2.32847392027325e-95	T1:RhSp Otp+ cells_62	bf13-599	bf_00023155
6.5360800835425e-99	1.92269635812055	0.707	0.288	1.45022544893641e-94	T1:RhSp Otp+ cells_62	bf7-928	bf_00011835
1.00898320856342e-97	2.25543312461145	0.478	0.125	2.23873194316051e-93	T1:RhSp Otp+ cells_62	bf8-574	bf8_574
1.40068114040275e-97	1.84705092656874	0.674	0.249	3.10783131432562e-93	T1:RhSp Otp+ cells_62	bf14-951	bf_00022353
4.3994575097533e-97	1.67551166663884	0.711	0.27	9.76151632264063e-93	T1:RhSp Otp+ cells_62	bf7-4	bf_00010862
8.60263069958892e-97	1.71208363333645	0.783	0.369	1.90875169962479e-92	T1:RhSp Otp+ cells_62	bf4-792	bf_00008558
1.72925545926846e-96	1.98641394074951	0.503	0.133	3.83687201302485e-92	T1:RhSp Otp+ cells_62	bf17-1	bf17_1
2.13010639381994e-96	1.4021931875378	0.912	0.588	4.72628006660767e-92	T1:RhSp Otp+ cells_62	bf14-348	bf_00021747
7.44525832647026e-96	1.12824804307597	0.961	0.79	1.65195391747722e-91	T1:RhSp Otp+ cells_62	bf2-1638	bf_00005613
1.00093567029348e-95	2.16467038702272	0.679	0.275	2.22087606524717e-91	T1:RhSp Otp+ cells_62	bf5-822	bf_00017241
2.96756586666316e-95	1.78904705219159	0.82	0.436	6.58443514495221e-91	T1:RhSp Otp+ cells_62	bf1620-1004	bf_00006993
3.33475897099783e-95	1.79445471978149	0.697	0.277	7.39916320485e-91	T1:RhSp Otp+ cells_62	bf10-570	bf_00018250
7.08779960057344e-95	1.7375882891706	0.781	0.355	1.57264097537524e-90	T1:RhSp Otp+ cells_62	bf1-752	bf1_752
3.25813730022871e-94	1.17483447496064	0.952	0.709	7.22915504174746e-90	T1:RhSp Otp+ cells_62	bf3-1640	bf_00001676
3.35183935787208e-93	0.969519916339254	0.991	0.902	7.43706116724658e-89	T1:RhSp Otp+ cells_62	bf11-149	bf_00020343
6.22990318728458e-93	1.67011792531122	0.822	0.425	1.3822909191947e-88	T1:RhSp Otp+ cells_62	bf2-789	bf_00004760
9.05374147738709e-93	1.31219919444203	0.873	0.43	2.00884415900265e-88	T1:RhSp Otp+ cells_62	bf14-21	bf_00021410
1.94706306760643e-92	2.32957886557922	0.397	0.09	4.32014353440514e-88	T1:RhSp Otp+ cells_62	bf17-911	bf_00026351
5.62813712606921e-92	1.17293027987359	0.947	0.677	1.24877106553224e-87	T1:RhSp Otp+ cells_62	bf17-830	bf_00026267
1.07297449596029e-91	1.70870710575779	0.741	0.319	2.3807158116367e-87	T1:RhSp Otp+ cells_62	bf17-590	bf_00026019
1.68251716857066e-91	1.82120789204776	0.603	0.2	3.73316909362458e-87	T1:RhSp Otp+ cells_62	bf4-108	bf_00007845
1.78894141651058e-91	1.56478859195852	0.788	0.374	3.96930321495367e-87	T1:RhSp Otp+ cells_62	bf17-1097	bf_00026556
3.3943090395894e-91	1.06876171714814	0.972	0.817	7.53129289704097e-87	T1:RhSp Otp+ cells_62	bf17-680	bf_00026120
3.47087030751877e-91	2.14890764481608	0.39	0.087	7.70116703832264e-87	T1:RhSp Otp+ cells_62	bf14-641	bf_00022038
4.33769725443793e-90	1.25619314814684	0.926	0.625	9.62448266814688e-86	T1:RhSp Otp+ cells_62	bf3-314	bf_00000329
5.45355463437564e-90	1.48766556864344	0.878	0.551	1.21003470227527e-85	T1:RhSp Otp+ cells_62	bf11-379	bf_00020587
6.88373963851459e-90	1.54019232090192	0.855	0.484	1.52736415099362e-85	T1:RhSp Otp+ cells_62	bf10-821	bf10_821
1.98079481774493e-89	1.34662932337966	0.924	0.61	4.39498754161245e-85	T1:RhSp Otp+ cells_62	bf3-722	bf_00000748
3.78202045573522e-89	2.32349097429053	0.467	0.128	8.3915469871853e-85	T1:RhSp Otp+ cells_62	bf3-575	bf_00000601
5.0562264846637e-89	2.49914917617851	0.344	0.071	1.12187553241718e-84	T1:RhSp Otp+ cells_62	bf17-323	bf_00025755
2.30399632078661e-88	1.48064560633294	0.875	0.544	5.11210703656134e-84	T1:RhSp Otp+ cells_62	bf5-199	bf_00016572
5.05575477900108e-88	1.83781871851182	0.758	0.385	1.12177087036476e-83	T1:RhSp Otp+ cells_62	bf15-958	bf_00019930
5.73034506093181e-88	1.26977643722047	0.933	0.666	1.27144896211955e-83	T1:RhSp Otp+ cells_62	bf3-719	bf_00000745
6.05257420101692e-88	2.69492236492572	0.286	0.05	1.34294516372163e-83	T1:RhSp Otp+ cells_62	bf11-839	bf_00021039
1.59099688890219e-87	1.92759443010977	0.584	0.202	3.53010389709618e-83	T1:RhSp Otp+ cells_62	bf1620-1063	bf_00007056
2.79116051460138e-87	2.52662500277427	0.372	0.084	6.19302694979754e-83	T1:RhSp Otp+ cells_62	bf5-736	bf_00017149
8.79773908107561e-87	2.20097799214884	0.43	0.11	1.95204234730906e-82	T1:RhSp Otp+ cells_62	bf3-191	bf_00000201
1.05033586411881e-86	1.49632873745422	0.861	0.491	2.33048521530682e-82	T1:RhSp Otp+ cells_62	bf1620-8	bf_00005991
1.42635262395051e-86	1.13241644411485	0.942	0.745	3.1647912020214e-82	T1:RhSp Otp+ cells_62	bf1620-1218	bf_00007213
3.44902398426271e-86	1.7231394847586	0.804	0.448	7.6526944162821e-82	T1:RhSp Otp+ cells_62	bf3-245	bf_00000257
3.75247135793513e-86	1.645466354132	0.785	0.387	8.32598344898647e-82	T1:RhSp Otp+ cells_62	bf10-1144	bf_00018858
5.84448530211266e-86	2.46726493117627	0.293	0.053	1.29677439883276e-81	T1:RhSp Otp+ cells_62	bf6-886	bf6_886
1.07588945173502e-85	1.70377609299344	0.547	0.165	2.38718351550965e-81	T1:RhSp Otp+ cells_62	bf4-1260	bf_00009016
1.74946586688145e-85	2.61153645471413	0.457	0.134	3.88171486543655e-81	T1:RhSp Otp+ cells_62	bf7-629	bf_00011519
2.82100456703793e-84	2.81019304850173	0.323	0.067	6.25924493334376e-80	T1:RhSp Otp+ cells_62	bf5-187	bf_00016559
6.88950950314663e-84	1.67977058550674	0.624	0.221	1.52864436855817e-79	T1:RhSp Otp+ cells_62	bf14-639	bf_00022036
7.48432721938213e-84	1.72937444428921	0.794	0.444	1.66062252343651e-79	T1:RhSp Otp+ cells_62	bf2-672	bf_00004648
1.57101459044178e-83	1.27884154918095	0.882	0.586	3.48576717327222e-79	T1:RhSp Otp+ cells_62	bf4-459	bf_00008218
2.16525185540684e-83	2.35405784619027	0.309	0.061	4.8042608167767e-79	T1:RhSp Otp+ cells_62	bf4-353	bf_00008106
9.67508894374123e-83	1.19424449033954	0.942	0.686	2.1467087348373e-78	T1:RhSp Otp+ cells_62	bf1-1387	bf_00003442
1.27290867137561e-82	2.1783562537291	0.464	0.134	2.82432976004821e-78	T1:RhSp Otp+ cells_62	bf1-826	bf_00002868
5.45067045995542e-82	1.10615040466788	0.94	0.733	1.20939476165491e-77	T1:RhSp Otp+ cells_62	bf14-34	bf_00021425
2.69454621742597e-81	1.39954391802363	0.372	0.085	5.97865914722475e-77	T1:RhSp Otp+ cells_62	bf3-1137	bf_00001148
1.12992178721752e-80	1.38726964642502	0.527	0.16	2.50707046147824e-76	T1:RhSp Otp+ cells_62	bf11-385	bf_00020593
1.52836227193856e-80	1.61667153313453	0.679	0.274	3.39113020897727e-76	T1:RhSp Otp+ cells_62	bf10-1121	bf_00018837
2.15286021581761e-80	1.08638669221174	0.947	0.722	4.77676624685611e-76	T1:RhSp Otp+ cells_62	bf15-139	bf_00019077
3.60088230558574e-80	1.84078805280042	0.506	0.157	7.98963765963364e-76	T1:RhSp Otp+ cells_62	bf5-613	bf_00017024
7.89582145823659e-80	3.22997289749747	0.152	0.015	1.75192486515353e-75	T1:RhSp Otp+ cells_62	bf2-1157	bf_00005129
4.13233479137793e-79	1.48768366095796	0.762	0.381	9.16882443510935e-75	T1:RhSp Otp+ cells_62	bf5-988	bf_00017404
5.79621963169673e-79	1.55713149805372	0.785	0.418	1.28606521188087e-74	T1:RhSp Otp+ cells_62	bf6-633	bf_00012936
9.48786827386276e-79	1.88787137757813	0.434	0.117	2.10516821260467e-74	T1:RhSp Otp+ cells_62	bf1-452	bf1_452
3.15561104322768e-78	1.42290344925925	0.811	0.425	7.00166978271358e-74	T1:RhSp Otp+ cells_62	bf11-368	bf_00020575
4.42124764887456e-78	0.742380534735115	0.995	0.97	9.80986428332288e-74	T1:RhSp Otp+ cells_62	bf7-554	bf_00011444
9.86483001540821e-78	1.32753109970126	0.841	0.497	2.18880848381877e-73	T1:RhSp Otp+ cells_62	bf15-766	bf_00019741
2.67978582077628e-77	1.62140112206844	0.543	0.173	5.9459087791384e-73	T1:RhSp Otp+ cells_62	bf4-984	bf4_984
2.86558402855051e-77	1.55379835781246	0.73	0.355	6.35815784254788e-73	T1:RhSp Otp+ cells_62	bf6-579	bf_00012883
1.197032817675e-76	1.30215355005383	0.818	0.457	2.6559764158573e-72	T1:RhSp Otp+ cells_62	bf10-631	bf_00018313
2.08018376267239e-76	1.558751625578	0.411	0.109	4.6155117326175e-72	T1:RhSp Otp+ cells_62	bf13-103	bf_00022637
2.16755338863074e-76	1.17594542874223	0.908	0.67	4.80936745869389e-72	T1:RhSp Otp+ cells_62	bf7-1254	bf_00012165
2.80969208787873e-76	1.79709839753032	0.515	0.167	6.23414480458533e-72	T1:RhSp Otp+ cells_62	bf14-217	bf_00021614
8.71945584971123e-76	0.86770739081215	0.991	0.944	1.93467286393393e-71	T1:RhSp Otp+ cells_62	bf2-18	bf_00003972
1.0565870776916e-75	1.70241876630898	0.388	0.097	2.34435540798211e-71	T1:RhSp Otp+ cells_62	bf3-1511	bf3_1511
1.91757404467765e-75	1.02151304050859	0.954	0.738	4.25471329033078e-71	T1:RhSp Otp+ cells_62	bf1620-374	bf_00006353
2.29318637869699e-75	2.04012748791198	0.409	0.112	5.08812193705287e-71	T1:RhSp Otp+ cells_62	bf3-1125	bf_00001138
3.95719967893952e-75	1.85586031075189	0.462	0.139	8.780234647631e-71	T1:RhSp Otp+ cells_62	bf12-400	bf_00014092
9.54451042614654e-75	0.699387053914905	0.801	0.318	2.11773597335339e-70	T1:RhSp Otp+ cells_62	bf1620-1555	bf_00007588
1.18965795173633e-74	0.669572562534672	0.995	0.97	2.63961306331258e-70	T1:RhSp Otp+ cells_62	bf11-412	bf_00020619
1.19909704424152e-74	1.2913841115597	0.855	0.536	2.6605565217631e-70	T1:RhSp Otp+ cells_62	bf3-1944	bf_00002008
1.24571591191169e-74	3.03721033697932	0.157	0.017	2.76399446534967e-70	T1:RhSp Otp+ cells_62	bf12-104	bf_00013777
3.02626516185224e-74	2.08059649879995	0.393	0.104	6.71467714111775e-70	T1:RhSp Otp+ cells_62	bf6-767	bf_00013075
3.57722595576091e-74	1.87798509102971	0.45	0.132	7.93714895064231e-70	T1:RhSp Otp+ cells_62	bf19-739	bf_00025318
3.98119519569472e-74	1.16490543285303	0.73	0.291	8.83347590020745e-70	T1:RhSp Otp+ cells_62	bf9-973	bf9_973
8.9084218321587e-74	3.22021521548669	0.129	0.012	1.97660063611937e-69	T1:RhSp Otp+ cells_62	bf3-1395	bf_00001417
1.21314364434514e-73	1.3443833908694	0.845	0.474	2.691723118073e-69	T1:RhSp Otp+ cells_62	bf3-388	bf_00000408
5.20872913182701e-73	0.989526284026471	0.945	0.723	1.15571281976978e-68	T1:RhSp Otp+ cells_62	bf7-979	bf_00011888
8.92684329608548e-73	0.687679487013419	0.993	0.944	1.98068799053545e-68	T1:RhSp Otp+ cells_62	bf2-1460	bf_00005429
2.07363083256906e-72	1.64906991654274	0.559	0.198	4.60097209130423e-68	T1:RhSp Otp+ cells_62	bf4-971	bf_00008730
1.31477467236662e-71	1.01512909864444	0.931	0.664	2.91722204304705e-67	T1:RhSp Otp+ cells_62	bf19-338	bf_00024894
1.59881401908868e-71	2.96383953356318	0.152	0.017	3.54744854555396e-67	T1:RhSp Otp+ cells_62	bf3-1392	bf_00001415
4.73350218083383e-71	7.55763721927572	0.058	0.001	1.05026946388341e-66	T1:RhSp Otp+ cells_62	bf11-558	bf_00020769
6.29391671350885e-71	1.66849638652718	0.566	0.208	1.39649424039334e-66	T1:RhSp Otp+ cells_62	bf1-1011	bf_00003054
1.08495343690463e-70	1.69402211020859	0.432	0.123	2.407294685804e-66	T1:RhSp Otp+ cells_62	bf6-861	bf_00013168
1.08514831407621e-70	1.59338361731908	0.547	0.195	2.4077270792723e-66	T1:RhSp Otp+ cells_62	bf3-840	bf_00000867
1.13708646059452e-70	1.32926551556486	0.497	0.168	2.52296743876711e-66	T1:RhSp Otp+ cells_62	bf2-618	bf_00004597
1.83290120346765e-70	1.68390323004157	0.527	0.181	4.06684119025403e-66	T1:RhSp Otp+ cells_62	bf1-879	bf_00002921
