Cluster	Cell number	Major labelling of reference	%Major labelling of reference	subtype labelling of reference	%subtype labelling of reference
232	211	Astrocytes	0.95260663507109	DeAstroepen1	0.616113744075829
230	164	Ependymal	0.902439024390244	TeEpen1	0.457317073170732
229	372	Ependymal	0.978494623655914	TeEpen1	0.518817204301075
226	318	Ependymal	0.993710691823899	DeEpen4	0.918238993710692
228	323	Ependymal	0.993808049535604	DeEpen4	0.959752321981424
225	168	Ependymal	1	DeEpen5	0.660714285714286
237	295	Ependymal	0.996610169491525	DMEpen1	0.474576271186441
304	180	Ependymal	0.972222222222222	DMEpen1	0.433333333333333
235	181	Ependymal	1	DMEpen1	1
236	132	Ependymal	1	DMEpen1	0.659090909090909
233	238	Ependymal	0.836134453781513	MREpen1	0.466386554621849
305	877	Ependymal	0.537058152793615	DeHypen1	0.156214367160775
301	4904	Erythrocytes	0.986133768352365	Erythro1	0.973083197389886
297	131	Immune	0.847328244274809	Lympho1	0.267175572519084
295	194	Immune	0.974226804123711	Micro1	0.670103092783505
312	547	Immune	0.945155393053016	Micro1	0.910420475319927
314	310	Immune	0.97741935483871	Micro1	0.909677419354839
296	378	Immune	0.992063492063492	Micro1	0.923280423280423
318	1440	Immune	1	Micro1	0.995138888888889
321	524	Immune	0.998091603053435	Micro1	0.99236641221374
2	263	Vascular	0.988593155893536	Vasc1	0.64638783269962
5	158	Vascular	1	Vasc3	0.936708860759494
6	230	Vascular	0.995652173913044	Vasc4	0.973913043478261
3	383	Vascular	0.986945169712794	Vasc3	0.827676240208877
4	131	Vascular	1	Vasc3	0.786259541984733
37	121	Vascular	0.479338842975207	Vasc5	0.479338842975207
15	644	Meningeal fibroblasts	0.968944099378882	Fibro2	0.56055900621118
27	1370	Meningeal fibroblasts	1	Fibro2	1
30	584	Meningeal fibroblasts	0.965753424657534	Fibro2	0.916095890410959
26	707	Meningeal fibroblasts	0.99009900990099	Fibro2	0.988684582743989
23	754	Meningeal fibroblasts	1	Fibro2	1
33	968	Meningeal fibroblasts	0.996900826446281	Fibro2	0.996900826446281
93	321	Meningeal fibroblasts	0.277258566978193	Fibro1	0.255451713395639
58	285	Meningeal fibroblasts	1	Fibro3	0.550877192982456
59	616	Meningeal fibroblasts	0.977272727272727	Fibro1	0.941558441558442
66	226	Meningeal fibroblasts	0.982300884955752	Fibro1	0.973451327433628
67	374	Meningeal fibroblasts	0.989304812834225	Fibro1	0.839572192513369
64	215	Meningeal fibroblasts	0.981395348837209	Fibro3	0.888372093023256
70	665	Meningeal fibroblasts	0.995488721804511	Fibro1	0.995488721804511
83	466	Meningeal fibroblasts	0.995708154506438	Fibro1	0.995708154506438
61	256	Meningeal fibroblasts	0.98828125	Fibro1	0.953125
62	1579	Meningeal fibroblasts	0.994300189993667	Fibro1	0.986700443318556
63	491	Meningeal fibroblasts	0.991853360488798	Fibro1	0.969450101832994
60	392	Meningeal fibroblasts	0.994897959183674	Fibro1	0.982142857142857
73	215	Meningeal fibroblasts	1	Fibro1	0.995348837209302
76	1077	Meningeal fibroblasts	0.991643454038997	Fibro1	0.987000928505107
78	1198	Meningeal fibroblasts	0.992487479131887	Fibro1	0.94991652754591
80	986	Meningeal fibroblasts	0.998985801217039	Fibro1	0.94421906693712
85	275	Meningeal fibroblasts	0.996363636363636	Fibro1	0.996363636363636
86	437	Meningeal fibroblasts	1	Fibro1	1
87	640	Meningeal fibroblasts	0.9984375	Fibro1	0.9984375
82	1267	Meningeal fibroblasts	0.998421468034728	Fibro1	0.998421468034728
89	1038	Meningeal fibroblasts	0.998073217726397	Fibro1	0.997109826589595
90	314	Meningeal fibroblasts	0.923566878980892	Fibro1	0.917197452229299
81	481	Meningeal fibroblasts	0.997920997920998	Fibro1	0.997920997920998
91	240	Meningeal fibroblasts	0.983333333333333	Fibro1	0.983333333333333
