Cluster	Cell number	Major labelling of reference	%Major labelling of reference	subtype labelling of reference	%subtype labelling of reference
196	740	MEGABA	0.935135135135135	MEGABA17	0.318918918918919
470	676	NEUR	0.72189349112426	NEUR	0.72189349112426
212	672	MEGABA	0.989583333333333	MEGABA20	0.647321428571429
237	351	MEGABA	0.962962962962963	MEGABA20	0.276353276353276
214	284	MEGLUT	0.901408450704225	MEGLUT5	0.686619718309859
188	460	NEUR	0.632608695652174	NEUR	0.632608695652174
255	645	MEGABA	0.950387596899225	MEGABA25	0.477519379844961
234	3409	MEGLUT	0.544734526254033	NEUR	0.118509826928718
249	1416	MEGABA	0.90819209039548	MEGABA32	0.195621468926554
62	484	MEGABA	0.516528925619835	MEGABA10	0.0847107438016529
63	354	NEUR	0.333333333333333	NEUR	0.333333333333333
131	290	TEGABA	0.789655172413793	TEGABA19	0.56551724137931
135	417	TEGABA	0.58273381294964	TEGABA20	0.18705035971223
137	475	TEGABA	0.892631578947368	TEGABA17	0.410526315789474
129	540	TEGABA	0.82962962962963	TEGABA24	0.357407407407407
134	916	TEGABA	0.490174672489083	NEUR	0.141921397379913
136	428	TEGABA	0.310747663551402	DIGABA20	0.133177570093458
208	284	DIGLUT	0.894366197183099	DIGLUT12	0.264084507042254
80	297	DIGLUT	0.912457912457912	DIGLUT15	0.181818181818182
81	596	DIGLUT	0.822147651006711	DIGLUT17	0.204697986577181
147	362	DIGLUT	0.558011049723757	NEUR	0.43646408839779
59	415	DIGLUT	0.968674698795181	DIGLUT19	0.501204819277108
195	480	DIGLUT	0.99375	DIGLUT19	0.75
492	654	NEUR	0.602446483180428	NEUR	0.602446483180428
222	390	DIGLUT	0.766666666666667	DIGLUT50	0.315384615384615
207	346	DIGLUT	0.88150289017341	DIGLUT50	0.61849710982659
60	354	DIGLUT	0.932203389830508	DIGLUT50	0.601694915254237
67	696	DIGABA	0.599137931034483	DIGABA11	0.122126436781609
68	518	DIGLUT	0.546332046332046	DIGLUT54	0.167953667953668
70	472	DIGABA	0.792372881355932	DIGABA23	0.188559322033898
71	245	DIGABA	0.518367346938776	TEGABA24	0.204081632653061
209	1521	MEGABA	0.568047337278107	MEGABA41	0.105193951347798
65	576	MEGABA	0.616319444444444	MEGABA42	0.123263888888889
228	1082	MEGABA	0.323475046210721	NEUR	0.204251386321627
66	648	MEGABA	0.881172839506173	MEGABA2	0.152777777777778
240	1311	MEGABA	0.563691838291381	NEUR	0.211289092295957
216	2149	MEGABA	0.396928804094928	NEUR	0.0767798976268032
479	25898	NEUR	0.663448914974129	NEUR	0.663448914974129
64	307	DIGABA	0.644951140065147	DIGABA30	0.449511400651466
230	270	DIGABA	0.562962962962963	DIGABA26	0.325925925925926
73	511	DIGABA	0.673189823874755	DIGABA26	0.295499021526419
78	632	DIGABA	0.585443037974684	DIGABA33	0.232594936708861
72	467	DIGABA	0.516059957173448	DIGABA33	0.130620985010707
75	524	DIGABA	0.50381679389313	DIGABA17	0.0801526717557252
233	274	TEGLUT	0.430656934306569	TEGLUT29	0.259124087591241
87	248	DIGLUT	0.479838709677419	TEGLUT27	0.229838709677419
232	329	DIGLUT	0.653495440729483	DIGLUT31	0.173252279635258
89	496	DIGLUT	0.741935483870968	DIGLUT31	0.193548387096774
86	294	DIGLUT	0.829931972789116	DIGLUT4	0.241496598639456
88	650	DIGLUT	0.623076923076923	DIGLUT24	0.0692307692307692
83	330	DIGLUT	0.509090909090909	MEGABA40	0.190909090909091
210	1343	DIGLUT	0.487714072970961	NEUR	0.156366344005957
82	1582	DIGLUT	0.470922882427307	NEUR	0.084070796460177
225	1261	DIGLUT	0.585249801744647	DIGLUT38	0.116574147501983
226	402	DIGLUT	0.76865671641791	DIGLUT15	0.26865671641791
273	208	MCGLIA	0.817307692307692	MCGLIA	0.817307692307692
92	662	MCGLIA	0.790030211480363	MCGLIA	0.790030211480363
94	369	MCGLIA	0.956639566395664	MCGLIA	0.956639566395664
272	366	OLIG	0.833333333333333	OLIG	0.833333333333333
270	355	OLIG	0.923943661971831	OLIG	0.923943661971831
264	2315	OLIG	0.658747300215983	OLIG	0.658747300215983
490	983	OLIG	0.512716174974568	OLIG	0.512716174974568
275	478	EG	0.552301255230126	EG	0.552301255230126
281	431	NEUR	0.5707656612529	NEUR	0.5707656612529
282	205	NEUR	0.712195121951219	NEUR	0.712195121951219
279	327	EG	0.767584097859327	EG	0.767584097859327
283	376	NEUR	0.393617021276596	NEUR	0.393617021276596
489	956	EG	0.562761506276151	EG	0.562761506276151
517	182	DISECR	0.593406593406593	DISECR3	0.593406593406593
519	397	NPC	0.959697732997481	NPC	0.959697732997481
521	766	NPC	0.765013054830287	NPC	0.765013054830287
520	262	NPC	0.736641221374046	NPC	0.736641221374046
570	472	NPC	0.298728813559322	NPC	0.298728813559322
551	404	JCHAIN	0.905940594059406	JCHAIN	0.905940594059406
552	205	JCHAIN	0.907317073170732	JCHAIN	0.907317073170732
453	305	MCGLIA	0.950819672131147	MCGLIA	0.950819672131147
452	1147	MCGLIA	0.996512641673932	MCGLIA	0.996512641673932
454	366	MCGLIA	1	MCGLIA	1
448	560	MCGLIA	0.994642857142857	MCGLIA	0.994642857142857
457	3607	MCGLIA	0.996395896867203	MCGLIA	0.996395896867203
549	281	END	1	END	1
555	313	VEND	0.996805111821086	VEND	0.996805111821086
556	254	VSMC	0.988188976377953	VSMC	0.988188976377953
550	328	CH-P	1	CH-P	1
2	854	SCO	0.963700234192037	SCO	0.963700234192037
4	793	SCO	0.996216897856242	SCO	0.996216897856242
553	1221	SCO	0.997542997542998	SCO	0.997542997542998
558	214	MCGLIA	0.981308411214953	MCGLIA	0.981308411214953
571	320	MCGLIA	0.871875	MCGLIA	0.871875
301	1343	EG-CB	0.980640357408786	EG-CB	0.980640357408786
328	218	EG	0.793577981651376	EG	0.793577981651376
351	426	EG	0.690140845070423	EG	0.690140845070423
356	554	EG	0.839350180505415	EG	0.839350180505415
337	344	EG	0.994186046511628	EG	0.994186046511628
319	608	EG	0.990131578947368	EG	0.990131578947368
321	293	EG	0.989761092150171	EG	0.989761092150171
349	1331	EG	0.997746055597295	EG	0.997746055597295
353	713	EG	0.983169705469846	EG	0.983169705469846
354	5800	EG	0.990862068965517	EG	0.990862068965517
316	425	NEUR	0.964705882352941	NEUR	0.964705882352941
317	546	NEUR	0.985347985347985	NEUR	0.985347985347985
327	276	EG	1	EG	1
315	236	EG	0.877118644067797	EG	0.877118644067797
324	1102	EG	0.952813067150635	EG	0.952813067150635
322	914	EG	0.962800875273523	EG	0.962800875273523
323	930	EG	0.998924731182796	EG	0.998924731182796
352	1859	EG	0.956966110812265	EG	0.956966110812265
326	258	EG	0.992248062015504	EG	0.992248062015504
334	551	EG	0.996370235934664	EG	0.996370235934664
358	9710	EG	0.948506694129763	EG	0.948506694129763
577	2101	EG	0.970490242741552	EG	0.970490242741552
329	335	EG	0.97910447761194	EG	0.97910447761194
331	1116	EG	0.971326164874552	EG	0.971326164874552
335	916	EG	0.997816593886463	EG	0.997816593886463
406	426	MCGLIA	0.946009389671362	MCGLIA	0.946009389671362
422	389	OLIG	0.979434447300771	OLIG	0.979434447300771
444	550	OLIG	0.934545454545455	OLIG	0.934545454545455
443	843	OLIG	0.835112692763938	OLIG	0.835112692763938
445	426	OLIG	0.89906103286385	OLIG	0.89906103286385
404	254	DIFF-OPC	0.960629921259842	DIFF-OPC	0.960629921259842
419	243	DIFF-OPC	0.860082304526749	DIFF-OPC	0.860082304526749
420	580	DIFF-OPC	0.701724137931034	DIFF-OPC	0.701724137931034
382	575	OLIG	0.893913043478261	OLIG	0.893913043478261
393	814	OLIG	0.998771498771499	OLIG	0.998771498771499
440	1264	OLIG	0.988924050632911	OLIG	0.988924050632911
424	3978	OLIG	0.999748617395676	OLIG	0.999748617395676
397	5085	OLIG	0.968731563421829	OLIG	0.968731563421829
430	4371	OLIG	0.996568291008922	OLIG	0.996568291008922
408	170	OLIG	1	OLIG	1
436	266	OLIG	0.898496240601504	OLIG	0.898496240601504
405	234	DIFF-OPC	1	DIFF-OPC	1
389	531	DIFF-OPC	0.979284369114878	DIFF-OPC	0.979284369114878
401	888	DIFF-OPC	0.881756756756757	DIFF-OPC	0.881756756756757
387	183	DIFF-OPC	1	DIFF-OPC	1
388	298	DIFF-OPC	0.996644295302013	DIFF-OPC	0.996644295302013
546	415	CYCL-CEL	0.949397590361446	CYCL-CEL	0.949397590361446
539	7610	OPC	0.914323258869908	OPC	0.914323258869908
376	5199	OPC	0.971917676476245	OPC	0.971917676476245
363	4037	OPC	0.945999504582611	OPC	0.945999504582611
379	3109	OPC	0.956899324541653	OPC	0.956899324541653
378	280	DIFF-OPC	0.660714285714286	DIFF-OPC	0.660714285714286
371	306	DIFF-OPC	0.617647058823529	DIFF-OPC	0.617647058823529
523	514	DIFF-OPC	0.785992217898833	DIFF-OPC	0.785992217898833
