Ohno1	Ohno2	Symbol1	Symbol2
Prkd2	Prkd1	ENSMUSG00000041187	ENSMUSG00000002688
Ptp4a2	Ptp4a1	ENSMUSG00000028788	ENSMUSG00000026064
Shank3	Shank1	ENSMUSG00000022623	ENSMUSG00000038738
Calcr	Calcrl	ENSMUSG00000023964	ENSMUSG00000059588
Cnnm2	Cnnm4	ENSMUSG00000064105	ENSMUSG00000037408
Sult3a2	Sult2a1	ENSMUSG00000090298	ENSMUSG00000078798
Alpl	Alppl2	ENSMUSG00000028766	ENSMUSG00000026246
Tspo2	Tspo	ENSMUSG00000023995	ENSMUSG00000041736
Grk1	Grk4	ENSMUSG00000031450	ENSMUSG00000052783
Magee1	Magea8	ENSMUSG00000031227	ENSMUSG00000079350
Cyp4f39	Cyp4b1	ENSMUSG00000061126	ENSMUSG00000028713
Pstpip1	Pstpip2	ENSMUSG00000032322	ENSMUSG00000025429
Cdh18	Cdh8	ENSMUSG00000040420	ENSMUSG00000036510
Unc5d	Unc5b	ENSMUSG00000063626	ENSMUSG00000020099
Shc2	Shc3	ENSMUSG00000020312	ENSMUSG00000021448
Nova2	Nova1	ENSMUSG00000030411	ENSMUSG00000021047
Sult5a1	Sult2a4	ENSMUSG00000000739	ENSMUSG00000074377
Cacnb2	Cacnb1	ENSMUSG00000057914	ENSMUSG00000020882
Qrfpr	Npffr2	ENSMUSG00000058400	ENSMUSG00000035528
Zfp202	Plagl1	ENSMUSG00000025602	ENSMUSG00000019817
Adamtsl3	Adamtsl1	ENSMUSG00000070469	ENSMUSG00000066113
Cyp4f16	Cyp4b1	ENSMUSG00000048440	ENSMUSG00000028713
Fchsd1	Fchsd2	ENSMUSG00000038524	ENSMUSG00000030691
F10	Klk10	ENSMUSG00000031444	ENSMUSG00000030693
Ankdd1b	Ankdd1a	ENSMUSG00000047117	ENSMUSG00000066510
Acsl1	Acsl6	ENSMUSG00000018796	ENSMUSG00000020333
Ctsb	Ctsw	ENSMUSG00000021939	ENSMUSG00000024910
Ogdhl	Ogdh	ENSMUSG00000021913	ENSMUSG00000020456
Tub	Tulp1	ENSMUSG00000031028	ENSMUSG00000037446
Plekha6	Plekha7	ENSMUSG00000041757	ENSMUSG00000045659
Adam34l	Adam7	ENSMUSG00000050190	ENSMUSG00000022056
Srgap2	Srgap3	ENSMUSG00000026425	ENSMUSG00000030257
Adra2b	Or56a4	ENSMUSG00000058620	ENSMUSG00000047225
Slc19a3	Slc19a2	ENSMUSG00000038496	ENSMUSG00000040918
Aldoc	Aldoart1	ENSMUSG00000017390	ENSMUSG00000059343
Pias1	Pias4	ENSMUSG00000032405	ENSMUSG00000004934
Fkbp1a	Fkbp1b	ENSMUSG00000032966	ENSMUSG00000020635
Tmem161b	Tmem161a	ENSMUSG00000035762	ENSMUSG00000002342
Olig2	Olig3	ENSMUSG00000039830	ENSMUSG00000045591
Cyp4f13	Cyp4a10	ENSMUSG00000024055	ENSMUSG00000066072
Ppie	Ppig	ENSMUSG00000028651	ENSMUSG00000042133
Hs3st3a1	Hs3st4	ENSMUSG00000047759	ENSMUSG00000078591
Neurod2	Neurod6	ENSMUSG00000038255	ENSMUSG00000037984
Yif1b	Yif1a	ENSMUSG00000030588	ENSMUSG00000024875
Slc16a11	Slc16a7	ENSMUSG00000040938	ENSMUSG00000020102
Mogat2	Awat2	ENSMUSG00000052396	ENSMUSG00000031220
Ephb2	Epha4	ENSMUSG00000028664	ENSMUSG00000026235
Stac	Stac2	ENSMUSG00000032502	ENSMUSG00000017400
Adam7	Adam30	ENSMUSG00000022056	ENSMUSG00000043468
Grap	Grap2	ENSMUSG00000004837	ENSMUSG00000042351
Mageb4	Magea3	ENSMUSG00000035427	ENSMUSG00000094196
Pcbp2	Pcbp4	ENSMUSG00000056851	ENSMUSG00000023495
Slc22a6	Slc22a13b	ENSMUSG00000024650	ENSMUSG00000092212
Sult2a2	Sult1c1	ENSMUSG00000070811	ENSMUSG00000023943
Asic3	Asic2	ENSMUSG00000038276	ENSMUSG00000020704
Myl6b	Myl1	ENSMUSG00000039824	ENSMUSG00000061816
Mageb18	Magea1	ENSMUSG00000067649	ENSMUSG00000096644
Adam34	Adam6a	ENSMUSG00000079058	ENSMUSG00000043945
C4b	AI182371	ENSMUSG00000073418	ENSMUSG00000035875
Capn1	Capn11	ENSMUSG00000024942	ENSMUSG00000058626
Arhgef9	Arhgef4	ENSMUSG00000025656	ENSMUSG00000037509
Cyp4f39	Cyp4a32	ENSMUSG00000061126	ENSMUSG00000063929
Car13	Car11	ENSMUSG00000027555	ENSMUSG00000003273
Nr4a3	Nr4a1	ENSMUSG00000028341	ENSMUSG00000023034
Rasgrp3	Rasgrp1	ENSMUSG00000071042	ENSMUSG00000027347
Entpd4b	Entpd7	ENSMUSG00000022066	ENSMUSG00000025192
Myl2	Mylpf	ENSMUSG00000013936	ENSMUSG00000030672
Sall4	Sall3	ENSMUSG00000027547	ENSMUSG00000024565
Golph3	Golph3l	ENSMUSG00000022200	ENSMUSG00000046519
Pygb	Pygl	ENSMUSG00000033059	ENSMUSG00000021069
Dido1	Phf3	ENSMUSG00000038914	ENSMUSG00000048874
Clic4	Clic3	ENSMUSG00000037242	ENSMUSG00000015093
Adam28	Adam12	ENSMUSG00000014725	ENSMUSG00000054555
Cdh19	Cdh6	ENSMUSG00000047216	ENSMUSG00000039385
Grm3	Grm7	ENSMUSG00000003974	ENSMUSG00000056755
Vill	Avil	ENSMUSG00000038775	ENSMUSG00000025432
Tshr	Fshr	ENSMUSG00000020963	ENSMUSG00000032937
Adam18	Adam21	ENSMUSG00000031552	ENSMUSG00000008438
Gnb3	Gnb1	ENSMUSG00000023439	ENSMUSG00000029064
Adam5	Adam10	ENSMUSG00000031554	ENSMUSG00000054693
Cdh3	Cdh4	ENSMUSG00000061048	ENSMUSG00000000305
Mpp2	Pals2	ENSMUSG00000017314	ENSMUSG00000038388
Scrt1	Scrt2	ENSMUSG00000048385	ENSMUSG00000060257
Plpp3	Plpp1	ENSMUSG00000028517	ENSMUSG00000021759
Fgfr4	Fgfr3	ENSMUSG00000005320	ENSMUSG00000054252
Akr1d1	Akr1c6	ENSMUSG00000038641	ENSMUSG00000021210
Ubap2	Ubap2l	ENSMUSG00000028433	ENSMUSG00000042520
Lpcat1	Lpcat2b	ENSMUSG00000021608	ENSMUSG00000033794
B4galt2	B4galt4	ENSMUSG00000028541	ENSMUSG00000022793
Mertk	Axl	ENSMUSG00000014361	ENSMUSG00000002602
Pik3r2	Pik3r3	ENSMUSG00000031834	ENSMUSG00000028698
Ikzf3	Ikzf4	ENSMUSG00000018168	ENSMUSG00000002578
Nsd3	Nsd1	ENSMUSG00000054823	ENSMUSG00000021488
Arhgap10	Arhgap42	ENSMUSG00000037148	ENSMUSG00000050730
Dtx1	Dtx2	ENSMUSG00000029603	ENSMUSG00000004947
Celf3	Celf6	ENSMUSG00000028137	ENSMUSG00000032297
Slc22a7	Slc22a13b	ENSMUSG00000067144	ENSMUSG00000092212
Pcdhb6	Pcdh18	ENSMUSG00000051678	ENSMUSG00000037892
Adam1a	Adam39	ENSMUSG00000072647	ENSMUSG00000054033
Kdelr2	Kdelr3	ENSMUSG00000079111	ENSMUSG00000010830
Rps6ka3	Rps6ka2	ENSMUSG00000031309	ENSMUSG00000023809
Ubtf	Ubtfl1	ENSMUSG00000020923	ENSMUSG00000074502
Pou2f2	Pou2f3	ENSMUSG00000008496	ENSMUSG00000032015
Tbc1d9	Tbc1d8	ENSMUSG00000031709	ENSMUSG00000003134
Gm15229	Saxo2	ENSMUSG00000085880	ENSMUSG00000038570
Uggt2	Uggt1	ENSMUSG00000042104	ENSMUSG00000037470
Ppp2r5b	Ppp2r5c	ENSMUSG00000024777	ENSMUSG00000017843
Ppp3ca	Ppp3cc	ENSMUSG00000028161	ENSMUSG00000022092
Cyth3	Cyth2	ENSMUSG00000018001	ENSMUSG00000003269
Sez6l2	Sez6l	ENSMUSG00000030683	ENSMUSG00000058153
Car1	Car5a	ENSMUSG00000027556	ENSMUSG00000025317
Sparcl1	Sparc	ENSMUSG00000029309	ENSMUSG00000018593
Lipi	Lipc	ENSMUSG00000032948	ENSMUSG00000032207
Heyl	Hey2	ENSMUSG00000032744	ENSMUSG00000019789
Ptbp2	Ptbp3	ENSMUSG00000028134	ENSMUSG00000028382
Col2a1	Col1a2	ENSMUSG00000022483	ENSMUSG00000029661
Nck1	Nck2	ENSMUSG00000032475	ENSMUSG00000066877
Ptp4a3	Ptp4a1	ENSMUSG00000059895	ENSMUSG00000117310
Mageb11	Magea3	ENSMUSG00000091497	ENSMUSG00000094196
Cdh22	Cdh11	ENSMUSG00000053166	ENSMUSG00000031673
Celf1	Celf2	ENSMUSG00000005506	ENSMUSG00000002107
Nsd1	Nsd2	ENSMUSG00000021488	ENSMUSG00000057406
Fut9	Fut4	ENSMUSG00000055373	ENSMUSG00000049307
Ncoa3	Ncoa2	ENSMUSG00000027678	ENSMUSG00000005886
Magea4	Magea5	ENSMUSG00000033343	ENSMUSG00000079349
Septin4	Septin1	ENSMUSG00000020486	ENSMUSG00000000486
Slc7a12	Slc7a1	ENSMUSG00000039710	ENSMUSG00000041313
Pfkfb3	Pfkfb1	ENSMUSG00000026773	ENSMUSG00000025271
Slc16a1	Slc16a3	ENSMUSG00000032902	ENSMUSG00000025161
Htra3	Htra2	ENSMUSG00000029096	ENSMUSG00000068329
Calm4	Efcab15	ENSMUSG00000033765	ENSMUSG00000020940
Mkrn2	Mkrn1	ENSMUSG00000000439	ENSMUSG00000029922
B3gnt8	B3gnt2	ENSMUSG00000059479	ENSMUSG00000051650
Adam3	Adam29	ENSMUSG00000031553	ENSMUSG00000046258
Dram1	Dram2	ENSMUSG00000020057	ENSMUSG00000027900
Adam6a	Adam4	ENSMUSG00000043945	ENSMUSG00000072972
Sox13	Sox5	ENSMUSG00000070643	ENSMUSG00000041540
Moxd2	Moxd1	ENSMUSG00000029885	ENSMUSG00000020000
Ctnna1	Ctnna3	ENSMUSG00000037815	ENSMUSG00000060843
Ubald2	Ubald1	ENSMUSG00000050628	ENSMUSG00000039568
Ctsk	Ctsw	ENSMUSG00000028111	ENSMUSG00000024910
Stat6	Stat5b	ENSMUSG00000002147	ENSMUSG00000020919
Ftdc1	Ftl1-ps1	ENSMUSG00000075002	ENSMUSG00000062382
Ovgp1	Chi3l1	ENSMUSG00000074340	ENSMUSG00000064246
Ppp3cb	Ppp3cc	ENSMUSG00000021816	ENSMUSG00000022092
Atp2b4	Atp2b3	ENSMUSG00000026463	ENSMUSG00000031376
Lamc1	Lamc3	ENSMUSG00000026478	ENSMUSG00000026840
Hivep3	Hivep1	ENSMUSG00000028634	ENSMUSG00000021366
Cbx3	Cbx1	ENSMUSG00000029836	ENSMUSG00000018666
Nfasc	Nrcam	ENSMUSG00000026442	ENSMUSG00000020598
Rhcg	Rhbg	ENSMUSG00000030549	ENSMUSG00000104445
Klf7	Klf6	ENSMUSG00000025959	ENSMUSG00000000078
Aldob	Aldoart1	ENSMUSG00000028307	ENSMUSG00000059343
Adh5	Cryzl2	ENSMUSG00000028138	ENSMUSG00000033488
Fosl2	Fosl1	ENSMUSG00000029135	ENSMUSG00000024912
F9	Klkb1	ENSMUSG00000031138	ENSMUSG00000109764
Irf2bp2	Irf2bpl	ENSMUSG00000051495	ENSMUSG00000034168
Cd9	Cd81	ENSMUSG00000030342	ENSMUSG00000037706
P2rx5	P2rx2	ENSMUSG00000005950	ENSMUSG00000029503
Adam25	Adam6b	ENSMUSG00000071937	ENSMUSG00000051804
Rbp1	Fabp12	ENSMUSG00000046402	ENSMUSG00000027530
Tbx21	Tbr1	ENSMUSG00000001444	ENSMUSG00000035033
Cabp4	Cabp5	ENSMUSG00000024842	ENSMUSG00000005649
Ribc2	Ribc1	ENSMUSG00000022431	ENSMUSG00000025257
Cpne6	Cpne7	ENSMUSG00000022212	ENSMUSG00000034796
Aldoa	Aldoart2	ENSMUSG00000030695	ENSMUSG00000063129
Cdh20	Cdh24	ENSMUSG00000050840	ENSMUSG00000059674
Cyp4f18	Cyp4v3	ENSMUSG00000003484	ENSMUSG00000079057
Macf1	Dst	ENSMUSG00000028649	ENSMUSG00000026131
Luc7l2	Luc7l	ENSMUSG00000029823	ENSMUSG00000024188
Ptpn14	Ptpn21	ENSMUSG00000026604	ENSMUSG00000021009
Doc2a	Doc2b	ENSMUSG00000052301	ENSMUSG00000020848
Heatr5a	Heatr5b	ENSMUSG00000035181	ENSMUSG00000039414
Tent5a	Tent5d	ENSMUSG00000032265	ENSMUSG00000073007
Aldob	Aldoart2	ENSMUSG00000028307	ENSMUSG00000063129
Psme3	Psme1	ENSMUSG00000078652	ENSMUSG00000022216
Slc25a30	Slc25a14	ENSMUSG00000022003	ENSMUSG00000031105
Adam3	Adam39	ENSMUSG00000031553	ENSMUSG00000054033
Adam18	Gm4787	ENSMUSG00000031552	ENSMUSG00000072974
Sult5a1	Sult2a3	ENSMUSG00000000739	ENSMUSG00000074375
Pde7a	Pde7b	ENSMUSG00000069094	ENSMUSG00000019990
Runx3	Runx1	ENSMUSG00000070691	ENSMUSG00000022952
Slc41a2	Slc41a1	ENSMUSG00000034591	ENSMUSG00000013275
Magee1	Magea2	ENSMUSG00000031227	ENSMUSG00000055746
Bmp5	Bmp7	ENSMUSG00000032179	ENSMUSG00000008999
Hoxd1	Hoxb1	ENSMUSG00000042448	ENSMUSG00000018973
Adam8	Adam33	ENSMUSG00000025473	ENSMUSG00000027318
Ube2d3	Ube2d2a	ENSMUSG00000078578	ENSMUSG00000091896
Cyp4f39	Cyp4a14	ENSMUSG00000061126	ENSMUSG00000028715
Rgs17	Rgs20	ENSMUSG00000019775	ENSMUSG00000002459
Adam5	Adam25	ENSMUSG00000031554	ENSMUSG00000071937
Cdh19	Cdh12	ENSMUSG00000047216	ENSMUSG00000040452
Asphd1	Asphd2	ENSMUSG00000046378	ENSMUSG00000029348
Dock2	Dock5	ENSMUSG00000020143	ENSMUSG00000044447
Cyp4f39	Cyp4a29	ENSMUSG00000061126	ENSMUSG00000083138
Kcnip4	Kcnip1	ENSMUSG00000029088	ENSMUSG00000053519
Fam120a	Fam120c	ENSMUSG00000038014	ENSMUSG00000025262
Id3	Id4	ENSMUSG00000007872	ENSMUSG00000021379
Frmd3	Frmd5	ENSMUSG00000049122	ENSMUSG00000027238
Pbx1	Pbx4	ENSMUSG00000052534	ENSMUSG00000031860
Lurap1l	Lurap1	ENSMUSG00000048706	ENSMUSG00000028701
Axin1	Axin2	ENSMUSG00000024182	ENSMUSG00000000142
Ric8a	Ric8b	ENSMUSG00000025485	ENSMUSG00000035620
Gdf11	Mstn	ENSMUSG00000025352	ENSMUSG00000026100
Slc15a3	Slc15a4	ENSMUSG00000024737	ENSMUSG00000029416
Gipc1	Gipc3	ENSMUSG00000019433	ENSMUSG00000034872
Cnot6l	Cnot6	ENSMUSG00000034724	ENSMUSG00000020362
Slc22a12	Slc22a13	ENSMUSG00000061742	ENSMUSG00000074028
Auts2	Fbrsl1	ENSMUSG00000029673	ENSMUSG00000043323
Cyp4f17	Cyp4a14	ENSMUSG00000091586	ENSMUSG00000028715
Tcf7l1	Lef1	ENSMUSG00000055799	ENSMUSG00000027985
Car9	Car13	ENSMUSG00000028463	ENSMUSG00000027555
Arhgap26	Arhgap42	ENSMUSG00000036452	ENSMUSG00000050730
Loxl4	Loxl3	ENSMUSG00000025185	ENSMUSG00000000693
Csrp3	Csrp2	ENSMUSG00000030470	ENSMUSG00000020186
Tgif2	Tgif1	ENSMUSG00000062175	ENSMUSG00000047407
Mxi1	Mxd4	ENSMUSG00000025025	ENSMUSG00000037235
Plpp5	Plpp4	ENSMUSG00000031570	ENSMUSG00000070366
Apba3	Apba1	ENSMUSG00000004931	ENSMUSG00000024897
Bltp3b	Bltp3a	ENSMUSG00000019951	ENSMUSG00000039512
Ube2q2	Ube2q1	ENSMUSG00000032307	ENSMUSG00000042572
Otof	Fer1l6	ENSMUSG00000062372	ENSMUSG00000037106
Ppara	Pparg	ENSMUSG00000022383	ENSMUSG00000000440
Cacna1a	Cacna1b	ENSMUSG00000034656	ENSMUSG00000004113
Lyn	Blk	ENSMUSG00000042228	ENSMUSG00000014453
Acvr2b	Acvr2a	ENSMUSG00000061393	ENSMUSG00000052155
Lgi1	Lrrc26	ENSMUSG00000067242	ENSMUSG00000026961
Adh6b	Cryzl2	ENSMUSG00000074206	ENSMUSG00000033488
Dnmt3c	Dnmt3a	ENSMUSG00000082079	ENSMUSG00000020661
R3hcc1l	R3hcc1	ENSMUSG00000025184	ENSMUSG00000034194
Gm4787	Adam26a	ENSMUSG00000072974	ENSMUSG00000048516
Matcap2	Matcap1	ENSMUSG00000036411	ENSMUSG00000014837
Trpc4	Trpc5	ENSMUSG00000027748	ENSMUSG00000041710
Csgalnact1	Csgalnact2	ENSMUSG00000036356	ENSMUSG00000042042
P2rx3	P2rx1	ENSMUSG00000027071	ENSMUSG00000020787
Ezr	Msn	ENSMUSG00000052397	ENSMUSG00000031207
Cdk17	Cdk16	ENSMUSG00000020015	ENSMUSG00000031065
Satb1	Satb2	ENSMUSG00000023927	ENSMUSG00000038331
Asap2	Asap1	ENSMUSG00000052632	ENSMUSG00000022377
Adam10	Adam20	ENSMUSG00000054693	ENSMUSG00000046282
Ppp2r5a	Ppp2r5d	ENSMUSG00000026626	ENSMUSG00000059409
Cyp4f18	Cyp4a14	ENSMUSG00000003484	ENSMUSG00000028715
Wnt7b	Wnt7a	ENSMUSG00000022382	ENSMUSG00000030093
Gucy1a2	Gucy1a1	ENSMUSG00000041624	ENSMUSG00000033910
Prss30	Tmprss11f	ENSMUSG00000024124	ENSMUSG00000048764
Xpo7	Ranbp17	ENSMUSG00000022100	ENSMUSG00000040594
Nr4a2	Nr4a1	ENSMUSG00000026826	ENSMUSG00000023034
Adam32	Adam21	ENSMUSG00000037437	ENSMUSG00000008438
Camsap3	Camsap2	ENSMUSG00000044433	ENSMUSG00000041570
Cyb561d2	Cyb561d1	ENSMUSG00000037190	ENSMUSG00000048796
Sult5a1	Sult2a6	ENSMUSG00000000739	ENSMUSG00000070810
Prps1l1	Prps2	ENSMUSG00000092305	ENSMUSG00000025742
Cav3	Cav1	ENSMUSG00000062694	ENSMUSG00000007655
Kcnt1	Kcnt2	ENSMUSG00000058740	ENSMUSG00000052726
Magel2	Mageb2	ENSMUSG00000056972	ENSMUSG00000073069
Cbln1	Cbln3	ENSMUSG00000031654	ENSMUSG00000040380
Maged1	Magea6	ENSMUSG00000025151	ENSMUSG00000063728
Gsg1	Gsg1l2	ENSMUSG00000030206	ENSMUSG00000097886
Dusp22	Dusp15	ENSMUSG00000069255	ENSMUSG00000042662
Nt5c3b	Nt5c3	ENSMUSG00000017176	ENSMUSG00000029780
Csrp1	Csrp3	ENSMUSG00000026421	ENSMUSG00000030470
Map1a	Map1b	ENSMUSG00000027254	ENSMUSG00000052727
Magel2	Magea3	ENSMUSG00000056972	ENSMUSG00000094196
Wnk1	Wnk2	ENSMUSG00000045962	ENSMUSG00000037989
Nlgn2	Ces1f	ENSMUSG00000051790	ENSMUSG00000031725
Calm5	Cabp5	ENSMUSG00000099269	ENSMUSG00000005649
Mageb5	Magea3	ENSMUSG00000061392	ENSMUSG00000094196
Slc7a8	Slc7a13	ENSMUSG00000022180	ENSMUSG00000041052
Plagl2	Zkscan6	ENSMUSG00000051413	ENSMUSG00000018347
Slc16a3	Slc16a12	ENSMUSG00000025161	ENSMUSG00000009378
Adam28	Adam8	ENSMUSG00000014725	ENSMUSG00000025473
Nceh1	Aadacl2	ENSMUSG00000027698	ENSMUSG00000091376
Cyp4f17	Cyp4a32	ENSMUSG00000091586	ENSMUSG00000063929
Arl8a	Arl8b	ENSMUSG00000026426	ENSMUSG00000030105
Ythdf3	Ythdf1	ENSMUSG00000047213	ENSMUSG00000038848
Fgf9	Fgf20	ENSMUSG00000021974	ENSMUSG00000031603
Lzts2	Lzts1	ENSMUSG00000035342	ENSMUSG00000036306
Fam149b	Fam149a	ENSMUSG00000039599	ENSMUSG00000070044
Nfatc4	Nfatc3	ENSMUSG00000023411	ENSMUSG00000031902
Slc7a6	Slc7a11	ENSMUSG00000031904	ENSMUSG00000027737
Myl6	Myl3	ENSMUSG00000090841	ENSMUSG00000059741
Cyp4f13	Cyp4v3	ENSMUSG00000024055	ENSMUSG00000079057
Cyria	Cyrib	ENSMUSG00000020589	ENSMUSG00000022378
Cyp4f14	Cyp4a29	ENSMUSG00000024292	ENSMUSG00000083138
Rgma	Rgmb	ENSMUSG00000070509	ENSMUSG00000048027
Itpkc	Itpkb	ENSMUSG00000003752	ENSMUSG00000038855
Pank3	Pank2	ENSMUSG00000018846	ENSMUSG00000037514
Stac2	Stac3	ENSMUSG00000017400	ENSMUSG00000040287
Tent5c	Tent5b	ENSMUSG00000044468	ENSMUSG00000046694
H2ac19	H2ac12	ENSMUSG00000063954	ENSMUSG00000069302
Epb41l3	Epb41l2	ENSMUSG00000024044	ENSMUSG00000019978
Slc7a8	Slc7a5	ENSMUSG00000022180	ENSMUSG00000040010
Aqp5	Aqp4	ENSMUSG00000044217	ENSMUSG00000024411
Cyth1	Cyth2	ENSMUSG00000017132	ENSMUSG00000003269
Myf6	Myog	ENSMUSG00000035923	ENSMUSG00000026459
Slc1a7	Slc1a6	ENSMUSG00000008932	ENSMUSG00000005357
Dock10	Dock11	ENSMUSG00000038608	ENSMUSG00000031093
Nlgn3	Ces1e	ENSMUSG00000031302	ENSMUSG00000061959
Hs3st4	Hs3st6	ENSMUSG00000078591	ENSMUSG00000039628
Rhobtb1	Rhobtb2	ENSMUSG00000019944	ENSMUSG00000022075
Drp2	Utrn	ENSMUSG00000000223	ENSMUSG00000019820
4930438A08Rik	Maoa	ENSMUSG00000069873	ENSMUSG00000025037
Kpna4	Kpna3	ENSMUSG00000027782	ENSMUSG00000021929
Elavl3	Elavl2	ENSMUSG00000003410	ENSMUSG00000008489
Hnrnpul1	Hnrnpul2	ENSMUSG00000040725	ENSMUSG00000071659
Shroom2	Shroom4	ENSMUSG00000045180	ENSMUSG00000068270
Dlg4	Dlg3	ENSMUSG00000020886	ENSMUSG00000000881
Adam29	Adam7	ENSMUSG00000046258	ENSMUSG00000022056
Pdgfb	Pdgfa	ENSMUSG00000000489	ENSMUSG00000025856
Gata2	Gata1	ENSMUSG00000015053	ENSMUSG00000031162
Ctsb	Tinag	ENSMUSG00000021939	ENSMUSG00000032357
Tekt5	Tekt3	ENSMUSG00000039179	ENSMUSG00000042189
Oxtr	Avpr2	ENSMUSG00000049112	ENSMUSG00000031390
Lix1	Lix1l	ENSMUSG00000047786	ENSMUSG00000049288
Ndst3	Hs3st6	ENSMUSG00000027977	ENSMUSG00000039628
Ganc	Ganab	ENSMUSG00000062646	ENSMUSG00000071650
Enpp3	Enpp2	ENSMUSG00000019989	ENSMUSG00000022425
Kif5a	Kif5b	ENSMUSG00000074657	ENSMUSG00000006740
Dqx1	Dhx32	ENSMUSG00000009145	ENSMUSG00000030986
Suv39h1	Suv39h2	ENSMUSG00000039231	ENSMUSG00000026646
Gna14	Gnat3	ENSMUSG00000024697	ENSMUSG00000028777
Cercam	Colgalt2	ENSMUSG00000039787	ENSMUSG00000032649
Rpl3l	Rpl3	ENSMUSG00000002500	ENSMUSG00000060036
Capn1	Capn3	ENSMUSG00000024942	ENSMUSG00000079110
Ngef	Arhgef19	ENSMUSG00000026259	ENSMUSG00000028919
Usp45	Usp16	ENSMUSG00000040455	ENSMUSG00000025616
Anxa13	Anxa4	ENSMUSG00000055114	ENSMUSG00000029994
Slc4a5	Slc4a9	ENSMUSG00000068323	ENSMUSG00000024485
Magel2	Mageb3	ENSMUSG00000056972	ENSMUSG00000074881
Nptn	Bsg	ENSMUSG00000032336	ENSMUSG00000023175
Slc22a27	Slc22a7	ENSMUSG00000067656	ENSMUSG00000067144
Sult6b1	Sult2a7	ENSMUSG00000038045	ENSMUSG00000094156
