Ohno1	Ohno2	Symbol1	Symbol2
TFCP2	UBP1	TFCP2	UBP1
CDYL	CDYL2	CDYL	CDYL2
NONO	PSPC1	NONO	PSPC1
CNN3	CNN2	CNN3	CNN2
DOK3	DOK1	DOK3	DOK1
SLC17A7	SLC17A8	SLC17A7	SLC17A8
VANGL1	VANGL2	VANGL1	VANGL2
RIMS4	RIMS3	RIMS4	RIMS3
SPATA6L	SPATA6	SPATA6L	SPATA6
LOC110081707	ALDH1A2	LOC110081707	ALDH1A2
IKZF3	IKZF2	IKZF3	IKZF2
OLFML2A	OLFML2B	OLFML2A	OLFML2B
HOXD8	HOXB8	HOXD8	HOXB8
PLCD3	PLCD4	PLCD3	PLCD4
BSG	NPTN	BSG	NPTN
IGFBPL1	IGFBP7	IGFBPL1	IGFBP7
MYL1	LOC110074822	MYL1	LOC110074822
MSN	EZR	MSN	EZR
TIA1	TIAL1	TIA1	TIAL1
AMIGO3	AMIGO2	AMIGO3	AMIGO2
ATCAY	BNIPL	ATCAY	BNIPL
PRRC2C	PRRC2A	PRRC2C	PRRC2A
FBXL20	FBXL2	FBXL20	FBXL2
SEMA6D	SEMA6A	SEMA6D	SEMA6A
LOC110084423	SHANK2	LOC110084423	SHANK2
LOC110082757	BMP6	LOC110082757	BMP6
KCNAB2	KCNAB1	KCNAB2	KCNAB1
PTPN2	PTPN1	PTPN2	PTPN1
P2RX2	P2RX5	P2RX2	P2RX5
CDH24	CDH20	CDH24	CDH20
TOMM20L	TOMM20	TOMM20L	TOMM20
TSHZ2	TSHZ3	TSHZ2	TSHZ3
MSI1	MSI2	MSI1	MSI2
SLC11A2	SLC11A1	SLC11A2	SLC11A1
SPRED3	SPRED1	SPRED3	SPRED1
KCNJ4	KCNJ12	KCNJ4	KCNJ12
AXIN2	LOC110089118	AXIN2	LOC110089118
PCSK6	PCSK4	PCSK6	PCSK4
LOC110086420	ITGA1	LOC110086420	ITGA1
FYN	LCK	FYN	LCK
RASIP1	RADIL	RASIP1	RADIL
LVRN	ANPEP	LVRN	ANPEP
E2F8	E2F7	E2F8	E2F7
P2RX3	P2RX2	P2RX3	P2RX2
FER1L6	LOC110073403	FER1L6	LOC110073403
LPP	ZYX	LPP	ZYX
REEP2	REEP4	REEP2	REEP4
DOCK1	DOCK2	DOCK1	DOCK2
PIEZO1	PIEZO2	PIEZO1	PIEZO2
NKX3-1	NKX3-2	NKX3-1	NKX3-2
LOC110087663	LOC110078353	LOC110087663	LOC110078353
RGS19	RGS17	RGS19	RGS17
ATF6B	ATF6	ATF6B	ATF6
CPT1C	CPT1B	CPT1C	CPT1B
KCND2	KCND1	KCND2	KCND1
HNRNPAB	HNRNPD	HNRNPAB	HNRNPD
MOGAT3	MOGAT1	MOGAT3	MOGAT1
FUT7	FUT9	FUT7	FUT9
FKBP9	FKBP10	FKBP9	FKBP10
GRPR	NMBR	GRPR	NMBR
SPECC1L	SPECC1	SPECC1L	SPECC1
FYN	LYN	FYN	LYN
CNGA2	CNGA1	CNGA2	CNGA1
ITGA8	ITGA2B	ITGA8	ITGA2B
HEATR5A	HEATR5B	HEATR5A	HEATR5B
ANGPTL1	ANGPTL2	ANGPTL1	ANGPTL2
MOB3B	MOB3A	MOB3B	MOB3A
DAB2IP	SYNGAP1	DAB2IP	SYNGAP1
FST	LOC110072309	FST	LOC110072309
SEPT12	SEPT3	SEPT12	SEPT3
HOXB1	HOXA1	HOXB1	HOXA1
PLXNB3	PLXNB2	PLXNB3	PLXNB2
ARHGEF26	ARHGEF16	ARHGEF26	ARHGEF16
GOLGA7	GOLGA7B	GOLGA7	GOLGA7B
LHX6	LHX8	LHX6	LHX8
FNBP1L	FNBP1	FNBP1L	FNBP1
NMRK2	NMRK1	NMRK2	NMRK1
PKD2L1	PKD2	PKD2L1	PKD2
TFAP2D	TFAP2E	TFAP2D	TFAP2E
ERBB4	ERBB3	ERBB4	ERBB3
STXBP1	STXBP3	STXBP1	STXBP3
PDE8B	PDE8A	PDE8B	PDE8A
MYH9	MYH11	MYH9	MYH11
PRUNE2	BNIP2	PRUNE2	BNIP2
SAR1B	SAR1A	SAR1B	SAR1A
LOC110078235	GLB1L	LOC110078235	GLB1L
BTRC	FBXW11	BTRC	FBXW11
LOC110086305	EVI5L	LOC110086305	EVI5L
KPNA6	KPNA1	KPNA6	KPNA1
DTNB	DTNA	DTNB	DTNA
HNRNPA2B1	HNRNPA1	HNRNPA2B1	HNRNPA1
WBP2	WBP2NL	WBP2	WBP2NL
WIPF3	WIPF2	WIPF3	WIPF2
MAP7D2	MAP7	MAP7D2	MAP7
MAFK	MAFF	MAFK	MAFF
FBXW7	LOC110078117	FBXW7	LOC110078117
USP12	USP46	USP12	USP46
PTPRR	PTPN7	PTPRR	PTPN7
NDRG4	NDRG3	NDRG4	NDRG3
NCOA3	NCOA2	NCOA3	NCOA2
LYN	FRK	LYN	FRK
PLEKHH2	PLEKHH1	PLEKHH2	PLEKHH1
FAM92B	FAM92A	FAM92B	FAM92A
ORMDL2	ORMDL3	ORMDL2	ORMDL3
CYTH4	CYTH3	CYTH4	CYTH3
NFATC3	NFATC1	NFATC3	NFATC1
TMEM106B	TMEM106C	TMEM106B	TMEM106C
HCN4	HCN3	HCN4	HCN3
KLHDC8B	KLHDC8A	KLHDC8B	KLHDC8A
HDAC4	HDAC9	HDAC4	HDAC9
CNTFR	EBI3	CNTFR	EBI3
EML3	EML2	EML3	EML2
SV2B	SV2C	SV2B	SV2C
MIGA1	MIGA2	MIGA1	MIGA2
GRIP1	GRIP2	GRIP1	GRIP2
RELA	REL	RELA	REL
LOC110076292	LOC110083376	LOC110076292	LOC110083376
LOC110086016	PPP1R9A	LOC110086016	PPP1R9A
SRI	GCA	SRI	GCA
SLC38A1	SLC38A3	SLC38A1	SLC38A3
YWHAB	SFN	YWHAB	SFN
SLC13A2	SLC13A4	SLC13A2	SLC13A4
YTHDF2	YTHDF3	YTHDF2	YTHDF3
ARHGEF2	AKAP13	ARHGEF2	AKAP13
GRPR	BRS3	GRPR	BRS3
KLF8	KLF12	KLF8	KLF12
CERS6	CERS5	CERS6	CERS5
EGLN1	EGLN2	EGLN1	EGLN2
PFKFB4	PFKFB3	PFKFB4	PFKFB3
NECTIN4	NECTIN3	NECTIN4	NECTIN3
NEDD9	EFS	NEDD9	EFS
UBALD2	UBALD1	UBALD2	UBALD1
SNX22	SNX24	SNX22	SNX24
PLEKHA4	PLEKHA6	PLEKHA4	PLEKHA6
UNC5D	UNC5B	UNC5D	UNC5B
EPC2	EPC1	EPC2	EPC1
GNAT3	GNAI3	GNAT3	GNAI3
CSRP2	CSRP1	CSRP2	CSRP1
TTC39B	TTC39A	TTC39B	TTC39A
USP20	USP33	USP20	USP33
DNAJB12	DNAJB14	DNAJB12	DNAJB14
TTYH3	TTYH1	TTYH3	TTYH1
LOC110077196	SLBP	LOC110077196	SLBP
MITF	TFEC	MITF	TFEC
FOXF2	FOXF1	FOXF2	FOXF1
CILP	LOC110079227	CILP	LOC110079227
PPP1R16B	PPP1R16A	PPP1R16B	PPP1R16A
PWWP2A	PWWP2B	PWWP2A	PWWP2B
CLCN2	LOC110073160	CLCN2	LOC110073160
LMNB1	LMNA	LMNB1	LMNA
SRPK2	SRPK1	SRPK2	SRPK1
MFNG	RFNG	MFNG	RFNG
ZMYM3	ZMYM4	ZMYM3	ZMYM4
HOXA10	HOXC10	HOXA10	HOXC10
MXI1	MXD1	MXI1	MXD1
TRIM67	TRIM9	TRIM67	TRIM9
TRPC3	TRPC7	TRPC3	TRPC7
CIDEB	CIDEA	CIDEB	CIDEA
RFX5	RFX7	RFX5	RFX7
CALCOCO2	CALCOCO1	CALCOCO2	CALCOCO1
EYA2	EYA1	EYA2	EYA1
CANX	CLGN	CANX	CLGN
LOC110084064	HYAL1	LOC110084064	HYAL1
SCIN	AVIL	SCIN	AVIL
MED12	MED12L	MED12	MED12L
LOC110089137	GSG1L2	LOC110089137	GSG1L2
PTPRZ1	PTPRG	PTPRZ1	PTPRG
NPBWR2	SSTR5	NPBWR2	SSTR5
TNKS	TNKS2	TNKS	TNKS2
GPD1	GPD1L	GPD1	GPD1L
SHROOM4	SHROOM2	SHROOM4	SHROOM2
TNPO2	TNPO1	TNPO2	TNPO1
GRAP2	LOC110084711	GRAP2	LOC110084711
TXLNB	TXLNA	TXLNB	TXLNA
TPM1	TPM3	TPM1	TPM3
VPS26B	VPS26A	VPS26B	VPS26A
XKR7	XKR9	XKR7	XKR9
LOC110082374	SLC16A3	LOC110082374	SLC16A3
LRCH2	LRCH3	LRCH2	LRCH3
IL16	PDZD2	IL16	PDZD2
SLC41A1	SLC41A2	SLC41A1	SLC41A2
SIGIRR	IL18RAP	SIGIRR	IL18RAP
AATK	LOC110078499	AATK	LOC110078499
CSDC2	CARHSP1	CSDC2	CARHSP1
ACAP3	ACAP1	ACAP3	ACAP1
IKZF1	IKZF3	IKZF1	IKZF3
ATF2	CREB5	ATF2	CREB5
TRAFD1	XAF1	TRAFD1	XAF1
SMARCA1	SMARCA5	SMARCA1	SMARCA5
MAP7	MAP7D3	MAP7	MAP7D3
CROCC2	CROCC	CROCC2	CROCC
RBMS3	RBMS1	RBMS3	RBMS1
SFXN5	SFXN4	SFXN5	SFXN4
RFX1	RFX4	RFX1	RFX4
CLCN2	LOC110082320	CLCN2	LOC110082320
FAM234B	FAM234A	FAM234B	FAM234A
GLCCI1	FAM117A	GLCCI1	FAM117A
SLC20A1	SLC20A2	SLC20A1	SLC20A2
TPPP3	LOC110086469	TPPP3	LOC110086469
NPFFR1	HCRTR2	NPFFR1	HCRTR2
NCOA5	LOC110086571	NCOA5	LOC110086571
PTPN13	LOC110087773	PTPN13	LOC110087773
PPP1CC	PPP1CA	PPP1CC	PPP1CA
GABRA2	GABRA1	GABRA2	GABRA1
LOC110085659	LOC110078303	LOC110085659	LOC110078303
ATP6V1G1	ATP6V1G3	ATP6V1G1	ATP6V1G3
EPB41L1	EPB41L3	EPB41L1	EPB41L3
SPRED2	SPRED3	SPRED2	SPRED3
SERTAD2	CDCA4	SERTAD2	CDCA4
CTSD	CTSE	CTSD	CTSE
DMWD	WDR20	DMWD	WDR20
ATP4B	ATP1B2	ATP4B	ATP1B2
SLC12A1	SLC12A2	SLC12A1	SLC12A2
SEMA6B	SEMA6A	SEMA6B	SEMA6A
MAPRE2	MAPRE3	MAPRE2	MAPRE3
TMC7	TMC4	TMC7	TMC4
LCP2	BLNK	LCP2	BLNK
SNAI2	SNAI1	SNAI2	SNAI1
UAP1L1	UAP1	UAP1L1	UAP1
PRKACB	PRKACA	PRKACB	PRKACA
GDF5	GDF6	GDF5	GDF6
LOC110080686	STAG3	LOC110080686	STAG3
PLEKHA7	PLEKHA4	PLEKHA7	PLEKHA4
MYL9	LOC110079422	MYL9	LOC110079422
TGFB2	TGFB1	TGFB2	TGFB1
GGA3	GGA1	GGA3	GGA1
USP53	USP54	USP53	USP54
SLA	SLA2	SLA	SLA2
TWF1	TWF2	TWF1	TWF2
LRIG3	LRIG2	LRIG3	LRIG2
NFKBIE	NFKBIA	NFKBIE	NFKBIA
STAT6	LOC110074911	STAT6	LOC110074911
TARS	TARSL2	TARS	TARSL2
CLIC5	CLIC4	CLIC5	CLIC4
TNS4	TNS2	TNS4	TNS2
LOC110085660	LOC110084975	LOC110085660	LOC110084975
MICU2	MICU3	MICU2	MICU3
CBX7	CBX8	CBX7	CBX8
SSBP3	SSBP2	SSBP3	SSBP2
ATF1	CREM	ATF1	CREM
LRRFIP1	LRRFIP2	LRRFIP1	LRRFIP2
NIPA1	LOC110084950	NIPA1	LOC110084950
DDIT4	DDIT4L	DDIT4	DDIT4L
EBF3	LOC110086610	EBF3	LOC110086610
PDK1	PDK4	PDK1	PDK4
CERS2	CERS5	CERS2	CERS5
ARHGAP4	SRGAP1	ARHGAP4	SRGAP1
FAT2	FAT1	FAT2	FAT1
STARD13	STARD8	STARD13	STARD8
PLEC	DST	PLEC	DST
RUFY4	FYCO1	RUFY4	FYCO1
CDK17	CDK16	CDK17	CDK16
LOC110072233	DRD1	LOC110072233	DRD1
CYTH3	LOC110078512	CYTH3	LOC110078512
LOC110081888	MYH9	LOC110081888	MYH9
LARP4B	LARP4	LARP4B	LARP4
RBMS3	RBMS2	RBMS3	RBMS2
SLC2A10	SLC2A12	SLC2A10	SLC2A12
TRPC3	LOC110078098	TRPC3	LOC110078098
LRRN3	LRRN1	LRRN3	LRRN1
NEK6	NEK7	NEK6	NEK7
AEBP1	CPXM1	AEBP1	CPXM1
ACAP3	ACAP2	ACAP3	ACAP2
AMOTL2	AMOT	AMOTL2	AMOT
KCTD16	KCTD8	KCTD16	KCTD8
TNFRSF19	EDAR	TNFRSF19	EDAR
CCNT1	CCNT2	CCNT1	CCNT2
BCL7A	BCL7C	BCL7A	BCL7C
PIK3CB	PIK3CD	PIK3CB	PIK3CD
KIAA1549L	KIAA1549	KIAA1549L	KIAA1549
TBR1	EOMES	TBR1	EOMES
ENO1	ENO4	ENO1	ENO4
LOC110075230	LOC110071407	LOC110075230	LOC110071407
EPB41L1	EPB41L2	EPB41L1	EPB41L2
RBM11	RBM7	RBM11	RBM7
LOC110086420	ITGA10	LOC110086420	ITGA10
AP1S2	AP1S3	AP1S2	AP1S3
TUB	TULP1	TUB	TULP1
LOC110091493	TBATA	LOC110091493	TBATA
TNIP1	TNIP3	TNIP1	TNIP3
RAB3D	RAB3A	RAB3D	RAB3A
P3H2	P3H1	P3H2	P3H1
FAM98B	FAM98C	FAM98B	FAM98C
UNC5A	UNC5B	UNC5A	UNC5B
ASIC4	LOC110074894	ASIC4	LOC110074894
AUTS2	FBRS	AUTS2	FBRS
TIMP2	TIMP3	TIMP2	TIMP3
ABLIM3	DMTN	ABLIM3	DMTN
THBS1	THBS2	THBS1	THBS2
FASTKD3	FASTKD2	FASTKD3	FASTKD2
DLC1	STARD13	DLC1	STARD13
PLXNB1	PLXND1	PLXNB1	PLXND1
SYNGR4	SYNGR1	SYNGR4	SYNGR1
TRIP10	FNBP1	TRIP10	FNBP1
NFE2L2	NFE2	NFE2L2	NFE2
REEP4	REEP3	REEP4	REEP3
TUSC3	MAGT1	TUSC3	MAGT1
TPM4	TPM2	TPM4	TPM2
NKX2-4	NKX2-1	NKX2-4	NKX2-1
STX1A	STX3	STX1A	STX3
MAST1	MAST4	MAST1	MAST4
BTBD2	BTBD1	BTBD2	BTBD1
SPI1	SPIC	SPI1	SPIC
FAM161A	FAM161B	FAM161A	FAM161B
QPCTL	QPCT	QPCTL	QPCT
ATF5	ATF4	ATF5	ATF4
MAN1A2	MAN1A1	MAN1A2	MAN1A1
PRRC2C	PRRC2B	PRRC2C	PRRC2B
TENM1	TENM3	TENM1	TENM3
PSD4	PSD	PSD4	PSD
LOC110074267	WASF2	LOC110074267	WASF2
PRKD1	PRKD2	PRKD1	PRKD2
LOC110082081	PCDH18	LOC110082081	PCDH18
SEC23A	SEC23B	SEC23A	SEC23B
SERINC3	SERINC1	SERINC3	SERINC1
PHF8	KDM7A	PHF8	KDM7A
PPRC1	PPARGC1A	PPRC1	PPARGC1A
DBP	TEF	DBP	TEF
EP300	CREBBP	EP300	CREBBP
WTIP	LIMD1	WTIP	LIMD1
GRIK5	GRIK4	GRIK5	GRIK4
LOC110088228	CNKSR2	LOC110088228	CNKSR2
ODF3L2	ODF3L1	ODF3L2	ODF3L1
SRCIN1	KIAA1217	SRCIN1	KIAA1217
TCF7L2	TCF7	TCF7L2	TCF7
LOC110083393	LOC110073375	LOC110083393	LOC110073375
LOC110087651	LOC110081409	LOC110087651	LOC110081409
LRIG3	LRIG1	LRIG3	LRIG1
FAM208A	FAM208B	FAM208A	FAM208B
SNX7	SNX30	SNX7	SNX30
RAB5B	RAB5A	RAB5B	RAB5A
FAM172A	LOC110074591	FAM172A	LOC110074591
L3MBTL1	L3MBTL3	L3MBTL1	L3MBTL3
IMPDH2	IMPDH1	IMPDH2	IMPDH1
SLC38A5	SLC38A3	SLC38A5	SLC38A3
HMG20B	HMG20A	HMG20B	HMG20A
ARHGAP44	ARHGAP17	ARHGAP44	ARHGAP17
GEM	RRAD	GEM	RRAD
SV2C	SV2A	SV2C	SV2A
GPC2	GPC1	GPC2	GPC1
HLF	TEF	HLF	TEF
L3MBTL1	LOC110082283	L3MBTL1	LOC110082283
P4HA1	P4HA2	P4HA1	P4HA2
LOXL4	LOXL2	LOXL4	LOXL2
R3HDM2	R3HDM1	R3HDM2	R3HDM1
LOC110079272	PLIN2	LOC110079272	PLIN2
SGK1	SGK2	SGK1	SGK2
STARD8	DLC1	STARD8	DLC1
MAP4K2	MAP4K3	MAP4K2	MAP4K3
SOX13	SOX6	SOX13	SOX6
ARHGDIB	ARHGDIA	ARHGDIB	ARHGDIA
SHARPIN	RBCK1	SHARPIN	RBCK1
UNC5A	UNC5D	UNC5A	UNC5D
RASGRP2	RASGRP1	RASGRP2	RASGRP1
BMPR1B	BMPR1A	BMPR1B	BMPR1A
PCGF2	LOC110083403	PCGF2	LOC110083403
LOC110082466	TMEM178B	LOC110082466	TMEM178B
GRB14	GRB7	GRB14	GRB7
EEF1A1	EEF1A2	EEF1A1	EEF1A2
SIPA1L3	SIPA1L1	SIPA1L3	SIPA1L1
HOXD13	HOXA13	HOXD13	HOXA13
LDB3	PDLIM7	LDB3	PDLIM7
NRAS	HRAS	NRAS	HRAS
KCTD10	TNFAIP1	KCTD10	TNFAIP1
STARD13	LOC110072299	STARD13	LOC110072299
LOC110086404	VKORC1L1	LOC110086404	VKORC1L1
LRRC3C	LRRC3	LRRC3C	LRRC3
PIP5K1A	PIP5K1C	PIP5K1A	PIP5K1C
SPAG9	MAPK8IP3	SPAG9	MAPK8IP3
TIMP4	TIMP3	TIMP4	TIMP3
LOC110086179	ADRB1	LOC110086179	ADRB1
HNRNPA1	HNRNPA3	HNRNPA1	HNRNPA3
ARHGAP1	ARHGAP8	ARHGAP1	ARHGAP8
EPN3	EPN2	EPN3	EPN2
PDZD4	PDZRN3	PDZD4	PDZRN3
STX1A	STX2	STX1A	STX2
SLC16A3	SLC16A7	SLC16A3	SLC16A7
ARNTL2	ARNTL	ARNTL2	ARNTL
ZFAND5	ZFAND6	ZFAND5	ZFAND6
ANXA11	ANXA3	ANXA11	ANXA3
MAPK8	MAPK10	MAPK8	MAPK10
FIP1L1	LOC110074299	FIP1L1	LOC110074299
DVL1	DVL2	DVL1	DVL2
GRB2	GRAP2	GRB2	GRAP2
TMEM131	KIAA0922	TMEM131	KIAA0922
SPRY1	SPRY2	SPRY1	SPRY2
BGN	DCN	BGN	DCN
ARHGAP24	ARHGAP22	ARHGAP24	ARHGAP22
MDM2	MDM4	MDM2	MDM4
RGMB	HFE2	RGMB	HFE2
EYA3	EYA1	EYA3	EYA1
CTDSP2	CTDSP1	CTDSP2	CTDSP1
RAD9A	RAD9B	RAD9A	RAD9B
DCHS1	DCHS2	DCHS1	DCHS2
VPS37D	VPS37B	VPS37D	VPS37B
TRPC4	TRPC5	TRPC4	TRPC5
MXD4	MXD3	MXD4	MXD3
SIPA1L2	SIPA1	SIPA1L2	SIPA1
PHKG1	PHKG2	PHKG1	PHKG2
MBNL1	MBNL2	MBNL1	MBNL2
MAP4K5	MAP4K1	MAP4K5	MAP4K1
LOC110072318	NR1H4	LOC110072318	NR1H4
MLF2	MLF1	MLF2	MLF1
PTBP1	PTBP2	PTBP1	PTBP2
KIF1C	KIF1A	KIF1C	KIF1A
FAM151B	FAM151A	FAM151B	FAM151A
E2F5	E2F4	E2F5	E2F4
DCDC2B	DCDC2	DCDC2B	DCDC2
SPAG1	TOMM34	SPAG1	TOMM34
AIP	LOC110084945	AIP	LOC110084945
LOC110081706	ALDH1A2	LOC110081706	ALDH1A2
COL5A3	COL5A1	COL5A3	COL5A1
PELI2	PELI1	PELI2	PELI1
TAX1BP1	CALCOCO1	TAX1BP1	CALCOCO1
SULT2B1	LOC110086333	SULT2B1	LOC110086333
ZNF366	ZNF710	ZNF366	ZNF710
NME1	NME3	NME1	NME3
TRIM46	TRIM36	TRIM46	TRIM36
G6PC2	LOC110080299	G6PC2	LOC110080299
STOX1	STOX2	STOX1	STOX2
PLOD1	PLOD3	PLOD1	PLOD3
CBX5	CBX1	CBX5	CBX1
SLC5A1	SLC5A2	SLC5A1	SLC5A2
LOC110091042	TMX4	LOC110091042	TMX4
VAMP1	LOC110078709	VAMP1	LOC110078709
IPO7	IPO8	IPO7	IPO8
SYN1	SYN2	SYN1	SYN2
DRP2	UTRN	DRP2	UTRN
