Cluster	Cell number	Major labelling of reference	%Major labelling of reference	subtype labelling of reference	%subtype labelling of reference
90	333	Upper-layer intratelencephalic	0.93993993993994	ULIT_135	0.63963963963964
45	316	Upper-layer intratelencephalic	0.870253164556962	ULIT_133	0.784810126582278
69	397	Upper-layer intratelencephalic	0.934508816120907	ULIT_133	0.403022670025189
70	228	Upper-layer intratelencephalic	1	ULIT_133	0.807017543859649
66	381	Upper-layer intratelencephalic	0.750656167979003	ULIT_130	0.204724409448819
71	264	Upper-layer intratelencephalic	1	ULIT_128	0.53030303030303
73	337	Upper-layer intratelencephalic	1	ULIT_134	0.57566765578635
76	504	Upper-layer intratelencephalic	0.996031746031746	ULIT_129	0.44047619047619
97	152	Miscellaneous	0.927631578947368	Misc_177	0.644736842105263
173	223	Miscellaneous	0.991031390134529	Misc_165	0.412556053811659
174	274	Amygdala excitatory	0.996350364963504	Amex_172	0.697080291970803
175	225	Amygdala excitatory	1	Amex_172	0.697777777777778
188	357	Amygdala excitatory	1	Amex_155	0.588235294117647
189	369	Amygdala excitatory	1	Amex_155	0.634146341463415
190	351	Amygdala excitatory	0.914529914529915	Amex_405	0.58974358974359
194	351	Amygdala excitatory	0.863247863247863	Amex_161	0.356125356125356
195	272	Amygdala excitatory	1	Amex_161	0.327205882352941
191	791	Amygdala excitatory	0.975979772439949	Amex_157	0.404551201011378
193	393	Amygdala excitatory	0.994910941475827	Amex_157	0.452926208651399
202	239	Upper-layer intratelencephalic	0.99163179916318	ULIT_131	0.899581589958159
93	169	Deep-layer intratelencephalic	0.50887573964497	DLIT_150	0.230769230769231
244	766	Deep-layer intratelencephalic	0.998694516971279	DLIT_148	0.519582245430809
243	256	Deep-layer intratelencephalic	1	DLIT_149	0.60546875
92	1208	Deep-layer intratelencephalic	0.986754966887417	DLIT_149	0.716059602649007
233	241	Deep-layer intratelencephalic	0.879668049792531	DLIT_145	0.539419087136929
234	257	Deep-layer intratelencephalic	0.98443579766537	DLIT_146	0.513618677042802
235	184	Deep-layer intratelencephalic	0.978260869565217	DLIT_147	0.78804347826087
572	854	Upper-layer intratelencephalic	0.26463700234192	ULIT_130	0.117096018735363
68	1089	Upper-layer intratelencephalic	0.999081726354454	ULIT_129	0.442607897153352
203	435	Upper-layer intratelencephalic	1	ULIT_130	0.455172413793103
228	310	Upper-layer intratelencephalic	1	ULIT_129	0.683870967741935
205	216	Upper-layer intratelencephalic	0.99537037037037	ULIT_128	0.50462962962963
201	411	Upper-layer intratelencephalic	1	ULIT_131	0.815085158150852
204	325	Upper-layer intratelencephalic	0.996923076923077	ULIT_120	0.286153846153846
178	2783	Upper-layer intratelencephalic	0.985267696730147	ULIT_123	0.589651455264103
213	249	Upper-layer intratelencephalic	0.795180722891566	ULIT_121	0.634538152610442
217	353	Upper-layer intratelencephalic	0.997167138810198	ULIT_121	0.645892351274788
214	564	Upper-layer intratelencephalic	0.99822695035461	ULIT_120	0.402482269503546
215	445	Upper-layer intratelencephalic	1	ULIT_121	0.838202247191011
207	560	Upper-layer intratelencephalic	0.996428571428571	ULIT_126	0.571428571428571
229	420	Upper-layer intratelencephalic	0.990476190476191	ULIT_126	0.469047619047619
219	198	Upper-layer intratelencephalic	1	ULIT_124	0.722222222222222
230	1538	Upper-layer intratelencephalic	1	ULIT_124	0.284135240572172
176	820	Upper-layer intratelencephalic	0.932926829268293	ULIT_123	0.220731707317073
226	1469	Upper-layer intratelencephalic	0.990469707283867	ULIT_124	0.168141592920354
199	381	Upper-layer intratelencephalic	0.958005249343832	ULIT_126	0.459317585301837
197	337	Amygdala excitatory	0.916913946587537	Amex_174	0.744807121661721
198	340	Amygdala excitatory	0.935294117647059	Amex_175	0.658823529411765
321	271	Midbrain-derived inhibitory	1	Midi_439	0.697416974169742
341	911	Midbrain-derived inhibitory	1	Midi_441	0.683863885839737
329	763	Midbrain-derived inhibitory	1	Midi_438	0.296199213630406
335	580	Midbrain-derived inhibitory	1	Midi_443	0.477586206896552
338	208	Midbrain-derived inhibitory	1	Midi_436	0.663461538461538
322	387	Midbrain-derived inhibitory	1	Midi_439	0.571059431524548
324	589	Midbrain-derived inhibitory	1	Midi_441	0.382003395585739
326	573	Midbrain-derived inhibitory	1	Midi_443	0.212914485165794
339	746	Midbrain-derived inhibitory	1	Midi_436	0.201072386058981
461	599	LAMP5-LHX6 and Chandelier	1	LLC_270	0.280467445742905
464	615	LAMP5-LHX6 and Chandelier	1	LLC_274	0.411382113821138
467	665	CGE interneuron	1	CGE_287	0.830075187969925
469	1022	CGE interneuron	1	CGE_288	0.910958904109589
501	358	CGE interneuron	1	CGE_286	0.784916201117318
502	438	CGE interneuron	1	CGE_286	0.748858447488584
477	444	CGE interneuron	1	CGE_294	0.484234234234234
481	222	CGE interneuron	1	CGE_294	0.315315315315315
483	442	CGE interneuron	1	CGE_293	0.565610859728507
484	642	CGE interneuron	1	CGE_293	0.658878504672897
490	318	CGE interneuron	1	CGE_289	0.889937106918239
491	276	CGE interneuron	1	CGE_296	0.605072463768116
492	169	CGE interneuron	1	CGE_296	0.692307692307692
473	639	CGE interneuron	1	CGE_290	0.553990610328638
474	314	CGE interneuron	1	CGE_290	0.898089171974522
470	407	CGE interneuron	1	CGE_291	0.886977886977887
480	427	CGE interneuron	1	CGE_292	0.824355971896956
487	563	CGE interneuron	0.994671403197158	CGE_284	0.58436944937833
498	430	CGE interneuron	1	CGE_282	0.727906976744186
499	392	CGE interneuron	1	CGE_283	0.678571428571429
496	388	CGE interneuron	0.997422680412371	CGE_278	0.791237113402062
494	332	CGE interneuron	0.993975903614458	CGE_279	0.599397590361446
495	368	CGE interneuron	0.991847826086957	CGE_279	0.277173913043478
344	228	Splatter	1	Splat_409	0.986842105263158
384	275	Splatter	1	Splat_238	0.956363636363636
417	484	MGE interneuron	1	MGE_241	0.429752066115702
418	595	MGE interneuron	0.989915966386555	MGE_243	0.638655462184874
414	422	MGE interneuron	0.81042654028436	MGE_249	0.220379146919431
415	291	MGE interneuron	0.77319587628866	MGE_242	0.646048109965636
409	811	MGE interneuron	0.998766954377312	MGE_250	0.648581997533909
413	270	MGE interneuron	0.996296296296296	MGE_239	0.603703703703704
428	386	MGE interneuron	0.766839378238342	MGE_254	0.645077720207254
421	853	MGE interneuron	0.987104337631887	MGE_251	0.667057444314185
427	243	MGE interneuron	1	MGE_253	0.666666666666667
430	345	MGE interneuron	1	MGE_252	0.831884057971015
431	398	MGE interneuron	1	MGE_252	0.663316582914573
434	533	LAMP5-LHX6 and Chandelier	0.99812382739212	LLC_264	0.454033771106942
438	308	MGE interneuron	1	MGE_256	0.561688311688312
440	166	MGE interneuron	1	MGE_255	0.674698795180723
459	339	MGE interneuron	0.994100294985251	MGE_261	0.407079646017699
446	1307	MGE interneuron	1	MGE_261	0.324407039020658
458	524	MGE interneuron	1	MGE_261	0.534351145038168
442	686	MGE interneuron	1	MGE_259	0.36734693877551
443	362	MGE interneuron	0.972375690607735	MGE_259	0.350828729281768
439	222	MGE interneuron	1	MGE_257	0.531531531531532
455	316	MGE interneuron	1	MGE_258	0.531645569620253
342	484	Mammillary body	1	Mmb_328	0.192148760330579
343	165	Mammillary body	0.987878787878788	Mmb_324	0.278787878787879
362	383	Splatter	0.997389033942559	Splat_365	0.261096605744125
363	300	Splatter	1	Splat_364	0.52
348	418	Splatter	0.782296650717703	Splat_235	0.188995215311005
276	425	Amygdala excitatory	0.390588235294118	Amex_407	0.145882352941176
277	545	Splatter	0.622018348623853	Splat_429	0.473394495412844
371	169	Splatter	0.994082840236686	Splat_415	0.272189349112426
349	309	Splatter	0.983818770226537	Splat_356	0.223300970873786
356	243	Splatter	1	Splat_365	0.419753086419753
370	353	Splatter	0.957507082152975	Splat_418	0.254957507082153
345	1265	Splatter	0.894861660079051	Splat_365	0.101185770750988
357	484	Splatter	0.983471074380165	Splat_365	0.128099173553719
375	365	Splatter	0.967123287671233	Splat_432	0.23013698630137
373	547	Splatter	0.974405850091408	Splat_415	0.190127970749543
382	1308	Splatter	0.907492354740061	Splat_415	0.380733944954128
377	1281	Splatter	0.97423887587822	Splat_368	0.134270101483216
381	1415	Splatter	0.980212014134276	Splat_365	0.140636042402827
358	785	Splatter	0.960509554140127	Splat_368	0.185987261146497
359	959	Splatter	0.961418143899896	Splat_365	0.344108446298227
318	370	Lower rhombic lip	0.878378378378378	LRL_320	0.572972972972973
316	1530	Lower rhombic lip	1	LRL_320	0.483660130718954
319	353	Lower rhombic lip	1	LRL_320	0.640226628895184
512	497	Microglia	1	Mgl_9	0.800804828973843
513	8708	Microglia	0.999540652273771	Mgl_7	0.405029857602205
504	310	Microglia	0.996774193548387	Mgl_12	0.993548387096774
511	154	Microglia	0.915584415584416	Mgl_12	0.272727272727273
577	658	Vascular	1	VendC_15	0.527355623100304
584	512	Vascular	0.9921875	Per_22	0.41015625
582	223	Fibroblast	0.991031390134529	Fbl_31	0.31390134529148
579	372	Fibroblast	1	Fbl_28	0.564516129032258
583	567	Fibroblast	0.700176366843034	Fbl_28	0.350970017636684
547	843	Oligodendrocyte	0.907473309608541	Oligo_49	0.780545670225386
544	466	Oligodendrocyte	1	Oligo_49	0.851931330472103
546	250	Oligodendrocyte	0.992	Oligo_49	0.992
550	271	Oligodendrocyte	1	Oligo_50	0.841328413284133
531	4250	Oligodendrocyte	0.992470588235294	Oligo_49	0.387294117647059
542	9687	Oligodendrocyte	0.99989676886549	Oligo_49	0.481882935893465
533	1838	Oligodendrocyte	0.988574537540805	Oligo_47	0.604461371055495
521	9879	Oligodendrocyte	0.980767284138071	Oligo_47	0.417349934203867
529	27639	Oligodendrocyte	0.999167842541337	Oligo_45	0.30916458627302
563	299	Oligodendrocyte precursor	0.812709030100334	OPC_36	0.638795986622074
552	236	Committed oligodendrocyte precursor	0.894067796610169	COP_37	0.461864406779661
556	12162	Oligodendrocyte precursor	0.999917776681467	OPC_33	0.444252590034534
629	236	Choroid plexus	1	Chrp_78	0.449152542372881
631	628	Choroid plexus	0.982484076433121	Chrp_78	0.318471337579618
633	441	Ependymal	0.997732426303855	Epen_72	0.258503401360544
634	211	Ependymal	1	Epen_69	0.33175355450237
586	991	Bergmann glia	1	Bgl_51	1
664	264	Astrocyte	0.988636363636364	Astro_61	0.46969696969697
615	699	Astrocyte	1	Astro_61	0.958512160228898
621	2824	Astrocyte	0.994688385269122	Astro_62	0.437322946175637
661	431	Astrocyte	0.997679814385151	Astro_62	0.626450116009281
609	2144	Astrocyte	0.972481343283582	Astro_60	0.729944029850746
659	783	Astrocyte	1	Astro_60	0.791826309067688
606	1338	Astrocyte	0.999252615844544	Astro_62	0.700298953662182
657	407	Astrocyte	1	Astro_62	0.668304668304668
627	254	Astrocyte	1	Astro_58	0.799212598425197
655	317	Astrocyte	1	Astro_58	0.709779179810726
656	328	Astrocyte	1	Astro_57	0.942073170731707
650	282	Astrocyte	1	Astro_55	0.921985815602837
654	505	Astrocyte	1	Astro_53	0.687128712871287
651	1630	Astrocyte	1	Astro_54	0.766871165644172
652	962	Astrocyte	0.998960498960499	Astro_54	0.585239085239085
593	2998	Astrocyte	0.991994663108739	Astro_52	0.442628418945964
636	1746	Astrocyte	1	Astro_52	0.853951890034364
